네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성가디건"
"2017-08-01",2
"2017-08-02",
"2017-08-03",2
"2017-08-04",1
"2017-08-05",1
"2017-08-06",2
"2017-08-07",1
"2017-08-08",2
"2017-08-09",2
"2017-08-10",3
"2017-08-11",2
"2017-08-12",2
"2017-08-13",3
"2017-08-14",4
"2017-08-15",8
"2017-08-16",9
"2017-08-17",10
"2017-08-18",6
"2017-08-19",11
"2017-08-20",10
"2017-08-21",13
"2017-08-22",12
"2017-08-23",10
"2017-08-24",13
"2017-08-25",11
"2017-08-26",15
"2017-08-27",27
"2017-08-28",31
"2017-08-29",49
"2017-08-30",75
"2017-08-31",59
"2017-09-01",58
"2017-09-02",54
"2017-09-03",68
"2017-09-04",56
"2017-09-05",56
"2017-09-06",65
"2017-09-07",58
"2017-09-08",43
"2017-09-09",47
"2017-09-10",56
"2017-09-11",58
"2017-09-12",49
"2017-09-13",48
"2017-09-14",49
"2017-09-15",42
"2017-09-16",53
"2017-09-17",69
"2017-09-18",52
"2017-09-19",51
"2017-09-20",56
"2017-09-21",53
"2017-09-22",47
"2017-09-23",43
"2017-09-24",54
"2017-09-25",47
"2017-09-26",44
"2017-09-27",42
"2017-09-28",45
"2017-09-29",39
"2017-09-30",44
"2017-10-01",53
"2017-10-02",43
"2017-10-03",39
"2017-10-04",41
"2017-10-05",48
"2017-10-06",62
"2017-10-07",59
"2017-10-08",64
"2017-10-09",65
"2017-10-10",53
"2017-10-11",71
"2017-10-12",78
"2017-10-13",57
"2017-10-14",63
"2017-10-15",77
"2017-10-16",82
"2017-10-17",75
"2017-10-18",76
"2017-10-19",62
"2017-10-20",49
"2017-10-21",48
"2017-10-22",55
"2017-10-23",67
"2017-10-24",58
"2017-10-25",60
"2017-10-26",48
"2017-10-27",43
"2017-10-28",56
"2017-10-29",57
"2017-10-30",52
"2017-10-31",40
"2017-11-01",43
"2017-11-02",41
"2017-11-03",33
"2017-11-04",36
"2017-11-05",43
"2017-11-06",43
"2017-11-07",48
"2017-11-08",47
"2017-11-09",38
"2017-11-10",33
"2017-11-11",32
"2017-11-12",38
"2017-11-13",35
"2017-11-14",39
"2017-11-15",34
"2017-11-16",32
"2017-11-17",26
"2017-11-18",29
"2017-11-19",31
"2017-11-20",34
"2017-11-21",29
"2017-11-22",28
"2017-11-23",24
"2017-11-24",20
"2017-11-25",24
"2017-11-26",32
"2017-11-27",36
"2017-11-28",22
"2017-11-29",29
"2017-11-30",31
"2017-12-01",25
"2017-12-02",27
"2017-12-03",32
"2017-12-04",31
"2017-12-05",29
"2017-12-06",27
"2017-12-07",20
"2017-12-08",25
"2017-12-09",22
"2017-12-10",32
"2017-12-11",29
"2017-12-12",31
"2017-12-13",31
"2017-12-14",30
"2017-12-15",22
"2017-12-16",31
"2017-12-17",45
"2017-12-18",27
"2017-12-19",29
"2017-12-20",29
"2017-12-21",23
"2017-12-22",16
"2017-12-23",23
"2017-12-24",28
"2017-12-25",28
"2017-12-26",29
"2017-12-27",30
"2017-12-28",25
"2017-12-29",21
"2017-12-30",20
"2017-12-31",19
"2018-01-01",31
"2018-01-02",32
"2018-01-03",27
"2018-01-04",29
"2018-01-05",21
"2018-01-06",24
"2018-01-07",38
"2018-01-08",28
"2018-01-09",34
"2018-01-10",30
"2018-01-11",30
"2018-01-12",26
"2018-01-13",33
"2018-01-14",36
"2018-01-15",40
"2018-01-16",35
"2018-01-17",37
"2018-01-18",28
"2018-01-19",27
"2018-01-20",32
"2018-01-21",44
"2018-01-22",43
"2018-01-23",34
"2018-01-24",42
"2018-01-25",39
"2018-01-26",26
"2018-01-27",39
"2018-01-28",47
"2018-01-29",47
"2018-01-30",45
"2018-01-31",37
"2018-02-01",40
"2018-02-02",29
"2018-02-03",37
"2018-02-04",48
"2018-02-05",41
"2018-02-06",42
"2018-02-07",41
"2018-02-08",38
"2018-02-09",29
"2018-02-10",35
"2018-02-11",41
"2018-02-12",29
"2018-02-13",30
"2018-02-14",23
"2018-02-15",33
"2018-02-16",23
"2018-02-17",36
"2018-02-18",47
"2018-02-19",43
"2018-02-20",42
"2018-02-21",47
"2018-02-22",50
"2018-02-23",36
"2018-02-24",41
"2018-02-25",60
"2018-02-26",56
"2018-02-27",57
"2018-02-28",54
"2018-03-01",74
"2018-03-02",58
"2018-03-03",73
"2018-03-04",87
"2018-03-05",69
"2018-03-06",73
"2018-03-07",74
"2018-03-08",69
"2018-03-09",54
"2018-03-10",72
"2018-03-11",93
"2018-03-12",88
"2018-03-13",98
"2018-03-14",100
"2018-03-15",89
"2018-03-16",60
"2018-03-17",75
"2018-03-18",96
"2018-03-19",80
"2018-03-20",69
"2018-03-21",70
"2018-03-22",74
"2018-03-23",63
"2018-03-24",71
"2018-03-25",86
"2018-03-26",76
"2018-03-27",91
"2018-03-28",83
"2018-03-29",81
"2018-03-30",66
"2018-03-31",72
"2018-04-01",88
"2018-04-02",71
"2018-04-03",69
"2018-04-04",64
"2018-04-05",53
"2018-04-06",49
"2018-04-07",56
"2018-04-08",62
"2018-04-09",59
"2018-04-10",59
"2018-04-11",55
"2018-04-12",57
"2018-04-13",45
"2018-04-14",48
"2018-04-15",60
"2018-04-16",55
"2018-04-17",59
"2018-04-18",58
"2018-04-19",47
