네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","이케아"
"2017-08-01",13
"2017-08-02",14
"2017-08-03",13
"2017-08-04",15
"2017-08-05",14
"2017-08-06",15
"2017-08-07",15
"2017-08-08",17
"2017-08-09",20
"2017-08-10",18
"2017-08-11",16
"2017-08-12",14
"2017-08-13",19
"2017-08-14",18
"2017-08-15",21
"2017-08-16",18
"2017-08-17",17
"2017-08-18",17
"2017-08-19",13
"2017-08-20",19
"2017-08-21",17
"2017-08-22",17
"2017-08-23",18
"2017-08-24",17
"2017-08-25",16
"2017-08-26",14
"2017-08-27",17
"2017-08-28",15
"2017-08-29",17
"2017-08-30",14
"2017-08-31",16
"2017-09-01",16
"2017-09-02",15
"2017-09-03",16
"2017-09-04",18
"2017-09-05",18
"2017-09-06",19
"2017-09-07",16
"2017-09-08",16
"2017-09-09",15
"2017-09-10",23
"2017-09-11",23
"2017-09-12",15
"2017-09-13",16
"2017-09-14",16
"2017-09-15",13
"2017-09-16",16
"2017-09-17",23
"2017-09-18",19
"2017-09-19",19
"2017-09-20",15
"2017-09-21",14
"2017-09-22",16
"2017-09-23",15
"2017-09-24",20
"2017-09-25",14
"2017-09-26",11
"2017-09-27",18
"2017-09-28",17
"2017-09-29",12
"2017-09-30",15
"2017-10-01",20
"2017-10-02",20
"2017-10-03",22
"2017-10-04",19
"2017-10-05",24
"2017-10-06",31
"2017-10-07",34
"2017-10-08",29
"2017-10-09",33
"2017-10-10",20
"2017-10-11",17
"2017-10-12",29
"2017-10-13",27
"2017-10-14",23
"2017-10-15",35
"2017-10-16",35
"2017-10-17",37
"2017-10-18",39
"2017-10-19",35
"2017-10-20",24
"2017-10-21",21
"2017-10-22",17
"2017-10-23",18
"2017-10-24",16
"2017-10-25",18
"2017-10-26",19
"2017-10-27",19
"2017-10-28",17
"2017-10-29",22
"2017-10-30",24
"2017-10-31",27
"2017-11-01",31
"2017-11-02",23
"2017-11-03",17
"2017-11-04",17
"2017-11-05",19
"2017-11-06",19
"2017-11-07",15
"2017-11-08",20
"2017-11-09",18
"2017-11-10",19
"2017-11-11",20
"2017-11-12",29
"2017-11-13",22
"2017-11-14",24
"2017-11-15",19
"2017-11-16",21
"2017-11-17",16
"2017-11-18",14
"2017-11-19",19
"2017-11-20",23
"2017-11-21",22
"2017-11-22",19
"2017-11-23",17
"2017-11-24",18
"2017-11-25",20
"2017-11-26",26
"2017-11-27",25
"2017-11-28",23
"2017-11-29",21
"2017-11-30",23
"2017-12-01",24
"2017-12-02",23
"2017-12-03",40
"2017-12-04",25
"2017-12-05",22
"2017-12-06",23
"2017-12-07",18
"2017-12-08",16
"2017-12-09",20
"2017-12-10",18
"2017-12-11",14
"2017-12-12",15
"2017-12-13",15
"2017-12-14",13
"2017-12-15",18
"2017-12-16",19
"2017-12-17",26
"2017-12-18",23
"2017-12-19",20
"2017-12-20",23
"2017-12-21",19
"2017-12-22",15
"2017-12-23",16
"2017-12-24",17
"2017-12-25",19
"2017-12-26",16
"2017-12-27",19
"2017-12-28",21
"2017-12-29",17
"2017-12-30",17
"2017-12-31",16
"2018-01-01",19
"2018-01-02",17
"2018-01-03",19
"2018-01-04",22
"2018-01-05",22
"2018-01-06",25
"2018-01-07",26
"2018-01-08",23
"2018-01-09",17
"2018-01-10",26
"2018-01-11",26
"2018-01-12",23
"2018-01-13",27
"2018-01-14",26
"2018-01-15",33
"2018-01-16",28
"2018-01-17",31
"2018-01-18",27
"2018-01-19",20
"2018-01-20",28
"2018-01-21",34
"2018-01-22",24
"2018-01-23",28
"2018-01-24",25
"2018-01-25",28
"2018-01-26",22
"2018-01-27",32
"2018-01-28",43
"2018-01-29",57
"2018-01-30",29
"2018-01-31",24
"2018-02-01",26
"2018-02-02",29
"2018-02-03",31
"2018-02-04",38
"2018-02-05",33
"2018-02-06",30
"2018-02-07",31
"2018-02-08",25
"2018-02-09",24
"2018-02-10",29
"2018-02-11",39
"2018-02-12",27
"2018-02-13",26
"2018-02-14",21
"2018-02-15",30
"2018-02-16",23
"2018-02-17",23
"2018-02-18",27
"2018-02-19",24
"2018-02-20",23
"2018-02-21",24
"2018-02-22",25
"2018-02-23",24
"2018-02-24",30
"2018-02-25",35
"2018-02-26",30
"2018-02-27",25
"2018-02-28",26
"2018-03-01",56
"2018-03-02",44
"2018-03-03",53
"2018-03-04",100
"2018-03-05",54
"2018-03-06",49
"2018-03-07",44
"2018-03-08",37
"2018-03-09",32
"2018-03-10",45
"2018-03-11",70
"2018-03-12",45
"2018-03-13",27
"2018-03-14",34
"2018-03-15",46
"2018-03-16",37
"2018-03-17",45
"2018-03-18",63
"2018-03-19",46
"2018-03-20",46
"2018-03-21",33
"2018-03-22",34
"2018-03-23",39
"2018-03-24",43
"2018-03-25",50
"2018-03-26",39
"2018-03-27",37
"2018-03-28",37
"2018-03-29",37
"2018-03-30",32
"2018-03-31",32
"2018-04-01",58
"2018-04-02",47
"2018-04-03",32
"2018-04-04",28
"2018-04-05",27
"2018-04-06",23
"2018-04-07",28
"2018-04-08",34
"2018-04-09",27
"2018-04-10",24
"2018-04-11",19
"2018-04-12",21
"2018-04-13",22
"2018-04-14",30
"2018-04-15",26
"2018-04-16",22
"2018-04-17",25
"2018-04-18",22
"2018-04-19",20
