네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에이스침대"
"2017-08-01",42
"2017-08-02",35
"2017-08-03",30
"2017-08-04",35
"2017-08-05",40
"2017-08-06",44
"2017-08-07",43
"2017-08-08",38
"2017-08-09",35
"2017-08-10",40
"2017-08-11",35
"2017-08-12",43
"2017-08-13",50
"2017-08-14",50
"2017-08-15",79
"2017-08-16",43
"2017-08-17",44
"2017-08-18",39
"2017-08-19",47
"2017-08-20",60
"2017-08-21",53
"2017-08-22",43
"2017-08-23",46
"2017-08-24",48
"2017-08-25",38
"2017-08-26",50
"2017-08-27",57
"2017-08-28",52
"2017-08-29",40
"2017-08-30",39
"2017-08-31",38
"2017-09-01",34
"2017-09-02",46
"2017-09-03",66
"2017-09-04",49
"2017-09-05",42
"2017-09-06",44
"2017-09-07",41
"2017-09-08",39
"2017-09-09",49
"2017-09-10",77
"2017-09-11",53
"2017-09-12",47
"2017-09-13",42
"2017-09-14",38
"2017-09-15",35
"2017-09-16",50
"2017-09-17",59
"2017-09-18",49
"2017-09-19",52
"2017-09-20",40
"2017-09-21",35
"2017-09-22",38
"2017-09-23",48
"2017-09-24",53
"2017-09-25",59
"2017-09-26",57
"2017-09-27",56
"2017-09-28",51
"2017-09-29",41
"2017-09-30",45
"2017-10-01",59
"2017-10-02",66
"2017-10-03",50
"2017-10-04",58
"2017-10-05",76
"2017-10-06",77
"2017-10-07",84
"2017-10-08",92
"2017-10-09",100
"2017-10-10",74
"2017-10-11",61
"2017-10-12",50
"2017-10-13",32
"2017-10-14",39
"2017-10-15",59
"2017-10-16",38
"2017-10-17",47
"2017-10-18",43
"2017-10-19",38
"2017-10-20",37
"2017-10-21",71
"2017-10-22",73
"2017-10-23",69
"2017-10-24",65
"2017-10-25",55
"2017-10-26",58
"2017-10-27",51
"2017-10-28",65
"2017-10-29",81
"2017-10-30",62
"2017-10-31",54
"2017-11-01",60
"2017-11-02",56
"2017-11-03",52
"2017-11-04",69
"2017-11-05",75
"2017-11-06",69
"2017-11-07",63
"2017-11-08",51
"2017-11-09",62
"2017-11-10",50
"2017-11-11",63
"2017-11-12",76
"2017-11-13",62
"2017-11-14",67
"2017-11-15",48
"2017-11-16",57
"2017-11-17",45
"2017-11-18",57
"2017-11-19",76
"2017-11-20",65
"2017-11-21",62
"2017-11-22",46
"2017-11-23",46
"2017-11-24",40
"2017-11-25",49
"2017-11-26",76
"2017-11-27",57
"2017-11-28",50
"2017-11-29",49
"2017-11-30",52
"2017-12-01",39
"2017-12-02",58
"2017-12-03",69
"2017-12-04",41
"2017-12-05",39
"2017-12-06",35
"2017-12-07",39
"2017-12-08",29
"2017-12-09",47
"2017-12-10",51
"2017-12-11",38
"2017-12-12",33
"2017-12-13",26
"2017-12-14",31
"2017-12-15",24
"2017-12-16",34
"2017-12-17",45
"2017-12-18",34
"2017-12-19",37
"2017-12-20",32
"2017-12-21",29
"2017-12-22",27
"2017-12-23",36
"2017-12-24",42
"2017-12-25",52
"2017-12-26",42
"2017-12-27",39
"2017-12-28",38
"2017-12-29",30
"2017-12-30",45
"2017-12-31",38
"2018-01-01",57
"2018-01-02",52
"2018-01-03",46
"2018-01-04",33
"2018-01-05",38
"2018-01-06",49
"2018-01-07",57
"2018-01-08",43
"2018-01-09",42
"2018-01-10",41
"2018-01-11",34
"2018-01-12",34
"2018-01-13",48
"2018-01-14",72
"2018-01-15",56
"2018-01-16",49
"2018-01-17",53
"2018-01-18",49
"2018-01-19",46
"2018-01-20",76
"2018-01-21",95
"2018-01-22",67
"2018-01-23",56
"2018-01-24",53
"2018-01-25",46
"2018-01-26",46
"2018-01-27",60
"2018-01-28",85
"2018-01-29",67
"2018-01-30",53
"2018-01-31",44
"2018-02-01",55
"2018-02-02",43
"2018-02-03",72
"2018-02-04",87
"2018-02-05",57
"2018-02-06",48
"2018-02-07",51
"2018-02-08",46
"2018-02-09",42
"2018-02-10",64
"2018-02-11",85
"2018-02-12",57
"2018-02-13",44
"2018-02-14",49
"2018-02-15",51
"2018-02-16",53
"2018-02-17",77
"2018-02-18",96
"2018-02-19",67
"2018-02-20",50
"2018-02-21",50
"2018-02-22",52
"2018-02-23",44
"2018-02-24",58
"2018-02-25",66
"2018-02-26",62
"2018-02-27",53
"2018-02-28",52
"2018-03-01",63
"2018-03-02",46
"2018-03-03",58
"2018-03-04",69
"2018-03-05",44
"2018-03-06",42
"2018-03-07",44
"2018-03-08",40
"2018-03-09",35
"2018-03-10",58
"2018-03-11",63
"2018-03-12",38
"2018-03-13",37
"2018-03-14",31
"2018-03-15",42
"2018-03-16",35
"2018-03-17",57
"2018-03-18",77
"2018-03-19",60
"2018-03-20",47
"2018-03-21",47
"2018-03-22",38
"2018-03-23",35
"2018-03-24",52
"2018-03-25",64
"2018-03-26",44
"2018-03-27",40
"2018-03-28",34
"2018-03-29",33
"2018-03-30",30
"2018-03-31",48
"2018-04-01",58
"2018-04-02",38
"2018-04-03",36
"2018-04-04",38
"2018-04-05",37
"2018-04-06",31
"2018-04-07",48
"2018-04-08",62
"2018-04-09",44
"2018-04-10",43
"2018-04-11",46
"2018-04-12",35
"2018-04-13",33
"2018-04-14",51
"2018-04-15",60
"2018-04-16",43
"2018-04-17",39
"2018-04-18",38
"2018-04-19",33
