네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","슈퍼싱글침대"
"2017-08-01",44
"2017-08-02",41
"2017-08-03",40
"2017-08-04",36
"2017-08-05",36
"2017-08-06",41
"2017-08-07",44
"2017-08-08",39
"2017-08-09",40
"2017-08-10",41
"2017-08-11",34
"2017-08-12",42
"2017-08-13",56
"2017-08-14",51
"2017-08-15",64
"2017-08-16",53
"2017-08-17",45
"2017-08-18",34
"2017-08-19",36
"2017-08-20",57
"2017-08-21",51
"2017-08-22",46
"2017-08-23",50
"2017-08-24",45
"2017-08-25",36
"2017-08-26",42
"2017-08-27",57
"2017-08-28",52
"2017-08-29",47
"2017-08-30",43
"2017-08-31",46
"2017-09-01",47
"2017-09-02",49
"2017-09-03",67
"2017-09-04",63
"2017-09-05",51
"2017-09-06",51
"2017-09-07",46
"2017-09-08",44
"2017-09-09",46
"2017-09-10",59
"2017-09-11",63
"2017-09-12",48
"2017-09-13",48
"2017-09-14",46
"2017-09-15",45
"2017-09-16",47
"2017-09-17",61
"2017-09-18",55
"2017-09-19",53
"2017-09-20",43
"2017-09-21",45
"2017-09-22",38
"2017-09-23",40
"2017-09-24",56
"2017-09-25",47
"2017-09-26",45
"2017-09-27",38
"2017-09-28",36
"2017-09-29",30
"2017-09-30",34
"2017-10-01",36
"2017-10-02",36
"2017-10-03",35
"2017-10-04",34
"2017-10-05",40
"2017-10-06",42
"2017-10-07",50
"2017-10-08",59
"2017-10-09",68
"2017-10-10",56
"2017-10-11",52
"2017-10-12",43
"2017-10-13",34
"2017-10-14",44
"2017-10-15",56
"2017-10-16",51
"2017-10-17",48
"2017-10-18",46
"2017-10-19",35
"2017-10-20",41
"2017-10-21",43
"2017-10-22",57
"2017-10-23",51
"2017-10-24",51
"2017-10-25",47
"2017-10-26",48
"2017-10-27",40
"2017-10-28",44
"2017-10-29",60
"2017-10-30",46
"2017-10-31",42
"2017-11-01",41
"2017-11-02",44
"2017-11-03",37
"2017-11-04",50
"2017-11-05",58
"2017-11-06",57
"2017-11-07",51
"2017-11-08",48
"2017-11-09",47
"2017-11-10",38
"2017-11-11",46
"2017-11-12",63
"2017-11-13",61
"2017-11-14",58
"2017-11-15",47
"2017-11-16",46
"2017-11-17",52
"2017-11-18",59
"2017-11-19",83
"2017-11-20",63
"2017-11-21",59
"2017-11-22",56
"2017-11-23",46
"2017-11-24",43
"2017-11-25",54
"2017-11-26",69
"2017-11-27",70
"2017-11-28",61
"2017-11-29",61
"2017-11-30",56
"2017-12-01",37
"2017-12-02",51
"2017-12-03",65
"2017-12-04",60
"2017-12-05",51
"2017-12-06",46
"2017-12-07",40
"2017-12-08",40
"2017-12-09",44
"2017-12-10",66
"2017-12-11",53
"2017-12-12",46
"2017-12-13",47
"2017-12-14",40
"2017-12-15",38
"2017-12-16",43
"2017-12-17",65
"2017-12-18",53
"2017-12-19",40
"2017-12-20",45
"2017-12-21",44
"2017-12-22",35
"2017-12-23",46
"2017-12-24",46
"2017-12-25",62
"2017-12-26",50
"2017-12-27",51
"2017-12-28",52
"2017-12-29",40
"2017-12-30",53
"2017-12-31",54
"2018-01-01",77
"2018-01-02",73
"2018-01-03",74
"2018-01-04",64
"2018-01-05",52
"2018-01-06",69
"2018-01-07",84
"2018-01-08",74
"2018-01-09",73
"2018-01-10",70
"2018-01-11",62
"2018-01-12",57
"2018-01-13",73
"2018-01-14",100
"2018-01-15",78
"2018-01-16",67
"2018-01-17",55
"2018-01-18",47
"2018-01-19",50
"2018-01-20",68
"2018-01-21",88
"2018-01-22",77
"2018-01-23",66
"2018-01-24",55
"2018-01-25",58
"2018-01-26",48
"2018-01-27",60
"2018-01-28",77
"2018-01-29",66
"2018-01-30",50
"2018-01-31",51
"2018-02-01",59
"2018-02-02",52
"2018-02-03",68
"2018-02-04",93
"2018-02-05",80
"2018-02-06",70
"2018-02-07",64
"2018-02-08",56
"2018-02-09",51
"2018-02-10",64
"2018-02-11",75
"2018-02-12",65
"2018-02-13",56
"2018-02-14",53
"2018-02-15",58
"2018-02-16",57
"2018-02-17",74
"2018-02-18",81
"2018-02-19",79
"2018-02-20",64
"2018-02-21",62
"2018-02-22",56
"2018-02-23",53
"2018-02-24",57
"2018-02-25",78
"2018-02-26",74
"2018-02-27",66
"2018-02-28",58
"2018-03-01",95
"2018-03-02",69
"2018-03-03",71
"2018-03-04",99
"2018-03-05",75
"2018-03-06",64
"2018-03-07",70
"2018-03-08",61
"2018-03-09",59
"2018-03-10",70
"2018-03-11",99
"2018-03-12",78
"2018-03-13",63
"2018-03-14",58
"2018-03-15",58
"2018-03-16",50
"2018-03-17",53
"2018-03-18",80
"2018-03-19",70
"2018-03-20",60
"2018-03-21",56
"2018-03-22",44
"2018-03-23",46
"2018-03-24",56
"2018-03-25",72
"2018-03-26",64
"2018-03-27",58
"2018-03-28",48
"2018-03-29",50
"2018-03-30",41
"2018-03-31",53
"2018-04-01",63
"2018-04-02",61
"2018-04-03",57
"2018-04-04",53
"2018-04-05",57
"2018-04-06",43
"2018-04-07",57
"2018-04-08",69
"2018-04-09",59
"2018-04-10",52
"2018-04-11",48
"2018-04-12",50
"2018-04-13",50
"2018-04-14",62
"2018-04-15",79
"2018-04-16",61
"2018-04-17",55
"2018-04-18",51
"2018-04-19",49
