네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","버킷백"
"2017-08-01",24
"2017-08-02",24
"2017-08-03",24
"2017-08-04",21
"2017-08-05",20
"2017-08-06",23
"2017-08-07",23
"2017-08-08",26
"2017-08-09",29
"2017-08-10",25
"2017-08-11",25
"2017-08-12",28
"2017-08-13",29
"2017-08-14",28
"2017-08-15",38
"2017-08-16",32
"2017-08-17",35
"2017-08-18",32
"2017-08-19",32
"2017-08-20",38
"2017-08-21",46
"2017-08-22",43
"2017-08-23",51
"2017-08-24",42
"2017-08-25",36
"2017-08-26",45
"2017-08-27",45
"2017-08-28",42
"2017-08-29",46
"2017-08-30",41
"2017-08-31",44
"2017-09-01",36
"2017-09-02",44
"2017-09-03",42
"2017-09-04",45
"2017-09-05",41
"2017-09-06",49
"2017-09-07",46
"2017-09-08",38
"2017-09-09",40
"2017-09-10",50
"2017-09-11",43
"2017-09-12",57
"2017-09-13",60
"2017-09-14",44
"2017-09-15",38
"2017-09-16",44
"2017-09-17",56
"2017-09-18",55
"2017-09-19",63
"2017-09-20",67
"2017-09-21",52
"2017-09-22",44
"2017-09-23",51
"2017-09-24",61
"2017-09-25",59
"2017-09-26",58
"2017-09-27",56
"2017-09-28",42
"2017-09-29",37
"2017-09-30",40
"2017-10-01",45
"2017-10-02",45
"2017-10-03",35
"2017-10-04",39
"2017-10-05",40
"2017-10-06",41
"2017-10-07",48
"2017-10-08",60
"2017-10-09",72
"2017-10-10",52
"2017-10-11",59
"2017-10-12",56
"2017-10-13",36
"2017-10-14",36
"2017-10-15",55
"2017-10-16",42
"2017-10-17",47
"2017-10-18",48
"2017-10-19",45
"2017-10-20",39
"2017-10-21",34
"2017-10-22",44
"2017-10-23",43
"2017-10-24",44
"2017-10-25",46
"2017-10-26",38
"2017-10-27",32
"2017-10-28",33
"2017-10-29",45
"2017-10-30",32
"2017-10-31",33
"2017-11-01",35
"2017-11-02",35
"2017-11-03",37
"2017-11-04",39
"2017-11-05",45
"2017-11-06",38
"2017-11-07",33
"2017-11-08",39
"2017-11-09",39
"2017-11-10",39
"2017-11-11",55
"2017-11-12",56
"2017-11-13",50
"2017-11-14",52
"2017-11-15",41
"2017-11-16",47
"2017-11-17",39
"2017-11-18",51
"2017-11-19",51
"2017-11-20",47
"2017-11-21",45
"2017-11-22",42
"2017-11-23",44
"2017-11-24",36
"2017-11-25",38
"2017-11-26",48
"2017-11-27",40
"2017-11-28",36
"2017-11-29",37
"2017-11-30",35
"2017-12-01",32
"2017-12-02",35
"2017-12-03",52
"2017-12-04",47
"2017-12-05",41
"2017-12-06",45
"2017-12-07",40
"2017-12-08",37
"2017-12-09",37
"2017-12-10",47
"2017-12-11",43
"2017-12-12",40
"2017-12-13",37
"2017-12-14",36
"2017-12-15",29
"2017-12-16",35
"2017-12-17",37
"2017-12-18",39
"2017-12-19",33
"2017-12-20",27
"2017-12-21",36
"2017-12-22",32
"2017-12-23",28
"2017-12-24",29
"2017-12-25",38
"2017-12-26",34
"2017-12-27",42
"2017-12-28",31
"2017-12-29",34
"2017-12-30",34
"2017-12-31",32
"2018-01-01",40
"2018-01-02",43
"2018-01-03",45
"2018-01-04",43
"2018-01-05",41
"2018-01-06",41
"2018-01-07",53
"2018-01-08",47
"2018-01-09",41
"2018-01-10",43
"2018-01-11",35
"2018-01-12",40
"2018-01-13",38
"2018-01-14",51
"2018-01-15",47
"2018-01-16",51
"2018-01-17",47
"2018-01-18",48
"2018-01-19",38
"2018-01-20",44
"2018-01-21",58
"2018-01-22",45
"2018-01-23",40
"2018-01-24",49
"2018-01-25",55
"2018-01-26",43
"2018-01-27",47
"2018-01-28",53
"2018-01-29",54
"2018-01-30",54
"2018-01-31",52
"2018-02-01",53
"2018-02-02",50
"2018-02-03",45
"2018-02-04",57
"2018-02-05",46
"2018-02-06",51
"2018-02-07",50
"2018-02-08",48
"2018-02-09",36
"2018-02-10",41
"2018-02-11",49
"2018-02-12",39
"2018-02-13",35
"2018-02-14",36
"2018-02-15",71
"2018-02-16",61
"2018-02-17",58
"2018-02-18",73
"2018-02-19",60
"2018-02-20",54
"2018-02-21",57
"2018-02-22",55
"2018-02-23",47
"2018-02-24",72
"2018-02-25",69
"2018-02-26",65
"2018-02-27",66
"2018-02-28",55
"2018-03-01",68
"2018-03-02",55
"2018-03-03",61
"2018-03-04",79
"2018-03-05",61
"2018-03-06",65
"2018-03-07",63
"2018-03-08",53
"2018-03-09",49
"2018-03-10",61
"2018-03-11",100
"2018-03-12",68
"2018-03-13",64
"2018-03-14",60
"2018-03-15",57
"2018-03-16",48
"2018-03-17",58
"2018-03-18",87
"2018-03-19",59
"2018-03-20",59
"2018-03-21",58
"2018-03-22",53
"2018-03-23",49
"2018-03-24",51
"2018-03-25",86
"2018-03-26",62
"2018-03-27",52
"2018-03-28",55
"2018-03-29",55
"2018-03-30",51
"2018-03-31",47
"2018-04-01",74
"2018-04-02",58
"2018-04-03",55
"2018-04-04",54
"2018-04-05",56
"2018-04-06",53
"2018-04-07",51
"2018-04-08",69
"2018-04-09",56
"2018-04-10",57
"2018-04-11",51
"2018-04-12",51
"2018-04-13",47
"2018-04-14",54
"2018-04-15",68
"2018-04-16",55
"2018-04-17",52
"2018-04-18",52
"2018-04-19",50
