네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","런닝화"
"2017-08-01",45
"2017-08-02",44
"2017-08-03",40
"2017-08-04",33
"2017-08-05",31
"2017-08-06",47
"2017-08-07",51
"2017-08-08",43
"2017-08-09",45
"2017-08-10",43
"2017-08-11",30
"2017-08-12",29
"2017-08-13",33
"2017-08-14",35
"2017-08-15",55
"2017-08-16",53
"2017-08-17",54
"2017-08-18",41
"2017-08-19",45
"2017-08-20",44
"2017-08-21",45
"2017-08-22",54
"2017-08-23",49
"2017-08-24",45
"2017-08-25",38
"2017-08-26",37
"2017-08-27",48
"2017-08-28",50
"2017-08-29",54
"2017-08-30",48
"2017-08-31",51
"2017-09-01",39
"2017-09-02",45
"2017-09-03",52
"2017-09-04",58
"2017-09-05",54
"2017-09-06",46
"2017-09-07",48
"2017-09-08",42
"2017-09-09",36
"2017-09-10",60
"2017-09-11",56
"2017-09-12",53
"2017-09-13",44
"2017-09-14",47
"2017-09-15",31
"2017-09-16",45
"2017-09-17",45
"2017-09-18",47
"2017-09-19",52
"2017-09-20",42
"2017-09-21",37
"2017-09-22",38
"2017-09-23",25
"2017-09-24",42
"2017-09-25",41
"2017-09-26",37
"2017-09-27",31
"2017-09-28",29
"2017-09-29",30
"2017-09-30",24
"2017-10-01",27
"2017-10-02",25
"2017-10-03",28
"2017-10-04",30
"2017-10-05",35
"2017-10-06",33
"2017-10-07",32
"2017-10-08",45
"2017-10-09",56
"2017-10-10",67
"2017-10-11",59
"2017-10-12",52
"2017-10-13",42
"2017-10-14",32
"2017-10-15",40
"2017-10-16",52
"2017-10-17",49
"2017-10-18",44
"2017-10-19",41
"2017-10-20",34
"2017-10-21",29
"2017-10-22",47
"2017-10-23",61
"2017-10-24",46
"2017-10-25",55
"2017-10-26",36
"2017-10-27",36
"2017-10-28",33
"2017-10-29",37
"2017-10-30",41
"2017-10-31",38
"2017-11-01",41
"2017-11-02",46
"2017-11-03",36
"2017-11-04",36
"2017-11-05",35
"2017-11-06",42
"2017-11-07",53
"2017-11-08",46
"2017-11-09",42
"2017-11-10",32
"2017-11-11",26
"2017-11-12",39
"2017-11-13",45
"2017-11-14",42
"2017-11-15",34
"2017-11-16",35
"2017-11-17",31
"2017-11-18",27
"2017-11-19",40
"2017-11-20",39
"2017-11-21",31
"2017-11-22",36
"2017-11-23",30
"2017-11-24",27
"2017-11-25",20
"2017-11-26",33
"2017-11-27",43
"2017-11-28",39
"2017-11-29",35
"2017-11-30",31
"2017-12-01",26
"2017-12-02",34
"2017-12-03",47
"2017-12-04",44
"2017-12-05",41
"2017-12-06",42
"2017-12-07",36
"2017-12-08",34
"2017-12-09",24
"2017-12-10",45
"2017-12-11",40
"2017-12-12",35
"2017-12-13",42
"2017-12-14",25
"2017-12-15",22
"2017-12-16",22
"2017-12-17",37
"2017-12-18",33
"2017-12-19",31
"2017-12-20",24
"2017-12-21",20
"2017-12-22",19
"2017-12-23",22
"2017-12-24",27
"2017-12-25",26
"2017-12-26",33
"2017-12-27",31
"2017-12-28",34
"2017-12-29",22
"2017-12-30",28
"2017-12-31",32
"2018-01-01",52
"2018-01-02",48
"2018-01-03",43
"2018-01-04",44
"2018-01-05",39
"2018-01-06",37
"2018-01-07",50
"2018-01-08",56
"2018-01-09",58
"2018-01-10",44
"2018-01-11",38
"2018-01-12",34
"2018-01-13",40
"2018-01-14",38
"2018-01-15",49
"2018-01-16",50
"2018-01-17",53
"2018-01-18",44
"2018-01-19",42
"2018-01-20",40
"2018-01-21",57
"2018-01-22",47
"2018-01-23",52
"2018-01-24",37
"2018-01-25",36
"2018-01-26",34
"2018-01-27",40
"2018-01-28",50
"2018-01-29",50
"2018-01-30",58
"2018-01-31",56
"2018-02-01",46
"2018-02-02",45
"2018-02-03",31
"2018-02-04",49
"2018-02-05",54
"2018-02-06",47
"2018-02-07",41
"2018-02-08",40
"2018-02-09",38
"2018-02-10",34
"2018-02-11",44
"2018-02-12",35
"2018-02-13",31
"2018-02-14",29
"2018-02-15",27
"2018-02-16",38
"2018-02-17",38
"2018-02-18",73
"2018-02-19",68
"2018-02-20",61
"2018-02-21",62
"2018-02-22",60
"2018-02-23",54
"2018-02-24",42
"2018-02-25",60
"2018-02-26",66
"2018-02-27",66
"2018-02-28",59
"2018-03-01",67
"2018-03-02",52
"2018-03-03",64
"2018-03-04",87
"2018-03-05",63
"2018-03-06",72
"2018-03-07",68
"2018-03-08",68
"2018-03-09",52
"2018-03-10",58
"2018-03-11",80
"2018-03-12",83
"2018-03-13",86
"2018-03-14",80
"2018-03-15",59
"2018-03-16",51
"2018-03-17",57
"2018-03-18",70
"2018-03-19",75
"2018-03-20",66
"2018-03-21",64
"2018-03-22",57
"2018-03-23",46
"2018-03-24",47
"2018-03-25",73
"2018-03-26",83
"2018-03-27",71
"2018-03-28",71
"2018-03-29",77
"2018-03-30",58
"2018-03-31",57
"2018-04-01",81
"2018-04-02",100
"2018-04-03",91
"2018-04-04",90
"2018-04-05",67
"2018-04-06",55
"2018-04-07",42
"2018-04-08",66
"2018-04-09",73
"2018-04-10",75
"2018-04-11",76
"2018-04-12",67
"2018-04-13",54
"2018-04-14",62
"2018-04-15",63
"2018-04-16",65
"2018-04-17",81
"2018-04-18",66
"2018-04-19",61
