네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","쿠론가방"
"2017-08-01",29
"2017-08-02",29
"2017-08-03",27
"2017-08-04",23
"2017-08-05",30
"2017-08-06",37
"2017-08-07",34
"2017-08-08",26
"2017-08-09",34
"2017-08-10",37
"2017-08-11",24
"2017-08-12",37
"2017-08-13",45
"2017-08-14",39
"2017-08-15",53
"2017-08-16",42
"2017-08-17",38
"2017-08-18",31
"2017-08-19",41
"2017-08-20",46
"2017-08-21",41
"2017-08-22",38
"2017-08-23",33
"2017-08-24",32
"2017-08-25",39
"2017-08-26",42
"2017-08-27",56
"2017-08-28",44
"2017-08-29",42
"2017-08-30",42
"2017-08-31",44
"2017-09-01",35
"2017-09-02",52
"2017-09-03",66
"2017-09-04",46
"2017-09-05",52
"2017-09-06",53
"2017-09-07",53
"2017-09-08",49
"2017-09-09",70
"2017-09-10",92
"2017-09-11",56
"2017-09-12",60
"2017-09-13",58
"2017-09-14",54
"2017-09-15",45
"2017-09-16",62
"2017-09-17",85
"2017-09-18",54
"2017-09-19",59
"2017-09-20",47
"2017-09-21",53
"2017-09-22",36
"2017-09-23",61
"2017-09-24",74
"2017-09-25",53
"2017-09-26",48
"2017-09-27",47
"2017-09-28",47
"2017-09-29",38
"2017-09-30",62
"2017-10-01",75
"2017-10-02",75
"2017-10-03",64
"2017-10-04",57
"2017-10-05",66
"2017-10-06",79
"2017-10-07",85
"2017-10-08",97
"2017-10-09",100
"2017-10-10",71
"2017-10-11",68
"2017-10-12",65
"2017-10-13",50
"2017-10-14",80
"2017-10-15",97
"2017-10-16",68
"2017-10-17",54
"2017-10-18",64
"2017-10-19",61
"2017-10-20",54
"2017-10-21",71
"2017-10-22",98
"2017-10-23",72
"2017-10-24",62
"2017-10-25",58
"2017-10-26",61
"2017-10-27",50
"2017-10-28",78
"2017-10-29",92
"2017-10-30",67
"2017-10-31",57
"2017-11-01",68
"2017-11-02",57
"2017-11-03",54
"2017-11-04",78
"2017-11-05",80
"2017-11-06",65
"2017-11-07",64
"2017-11-08",56
"2017-11-09",56
"2017-11-10",55
"2017-11-11",74
"2017-11-12",91
"2017-11-13",63
"2017-11-14",60
"2017-11-15",54
"2017-11-16",55
"2017-11-17",46
"2017-11-18",70
"2017-11-19",75
"2017-11-20",64
"2017-11-21",62
"2017-11-22",55
"2017-11-23",54
"2017-11-24",49
"2017-11-25",66
"2017-11-26",81
"2017-11-27",58
"2017-11-28",52
"2017-11-29",52
"2017-11-30",49
"2017-12-01",46
"2017-12-02",58
"2017-12-03",83
"2017-12-04",63
"2017-12-05",63
"2017-12-06",55
"2017-12-07",52
"2017-12-08",44
"2017-12-09",60
"2017-12-10",92
"2017-12-11",69
"2017-12-12",57
"2017-12-13",53
"2017-12-14",53
"2017-12-15",48
"2017-12-16",73
"2017-12-17",88
"2017-12-18",58
"2017-12-19",52
"2017-12-20",49
"2017-12-21",48
"2017-12-22",42
"2017-12-23",52
"2017-12-24",68
"2017-12-25",86
"2017-12-26",54
"2017-12-27",49
"2017-12-28",47
"2017-12-29",49
"2017-12-30",68
"2017-12-31",57
"2018-01-01",51
"2018-01-02",39
"2018-01-03",40
"2018-01-04",41
"2018-01-05",38
"2018-01-06",51
"2018-01-07",64
"2018-01-08",50
"2018-01-09",49
"2018-01-10",48
"2018-01-11",48
"2018-01-12",39
"2018-01-13",50
"2018-01-14",73
"2018-01-15",50
"2018-01-16",53
"2018-01-17",54
"2018-01-18",58
"2018-01-19",44
"2018-01-20",68
"2018-01-21",83
"2018-01-22",56
"2018-01-23",60
"2018-01-24",54
"2018-01-25",61
"2018-01-26",48
"2018-01-27",53
"2018-01-28",81
"2018-01-29",56
"2018-01-30",68
"2018-01-31",49
"2018-02-01",54
"2018-02-02",52
"2018-02-03",63
"2018-02-04",96
"2018-02-05",64
"2018-02-06",67
"2018-02-07",61
"2018-02-08",64
"2018-02-09",55
"2018-02-10",70
"2018-02-11",98
"2018-02-12",54
"2018-02-13",50
"2018-02-14",54
"2018-02-15",66
"2018-02-16",61
"2018-02-17",76
"2018-02-18",99
"2018-02-19",70
"2018-02-20",62
"2018-02-21",49
"2018-02-22",52
"2018-02-23",56
"2018-02-24",62
"2018-02-25",81
"2018-02-26",67
"2018-02-27",63
"2018-02-28",58
"2018-03-01",80
"2018-03-02",58
"2018-03-03",67
"2018-03-04",88
"2018-03-05",63
"2018-03-06",53
"2018-03-07",54
"2018-03-08",57
"2018-03-09",44
"2018-03-10",64
"2018-03-11",85
"2018-03-12",55
"2018-03-13",63
"2018-03-14",53
"2018-03-15",50
"2018-03-16",49
"2018-03-17",57
"2018-03-18",69
"2018-03-19",55
"2018-03-20",40
"2018-03-21",30
"2018-03-22",32
"2018-03-23",36
"2018-03-24",57
"2018-03-25",62
"2018-03-26",49
"2018-03-27",44
"2018-03-28",38
"2018-03-29",45
"2018-03-30",35
"2018-03-31",41
"2018-04-01",58
"2018-04-02",47
"2018-04-03",43
"2018-04-04",41
"2018-04-05",37
"2018-04-06",41
"2018-04-07",53
"2018-04-08",72
"2018-04-09",49
"2018-04-10",50
"2018-04-11",42
"2018-04-12",43
"2018-04-13",38
"2018-04-14",58
"2018-04-15",65
"2018-04-16",43
"2018-04-17",42
"2018-04-18",44
"2018-04-19",37
