네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","카드지갑"
"2017-08-01",69
"2017-08-02",63
"2017-08-03",58
"2017-08-04",62
"2017-08-05",58
"2017-08-06",67
"2017-08-07",71
"2017-08-08",62
"2017-08-09",64
"2017-08-10",73
"2017-08-11",69
"2017-08-12",53
"2017-08-13",65
"2017-08-14",64
"2017-08-15",95
"2017-08-16",66
"2017-08-17",69
"2017-08-18",62
"2017-08-19",64
"2017-08-20",73
"2017-08-21",68
"2017-08-22",68
"2017-08-23",63
"2017-08-24",62
"2017-08-25",58
"2017-08-26",61
"2017-08-27",74
"2017-08-28",59
"2017-08-29",60
"2017-08-30",58
"2017-08-31",59
"2017-09-01",63
"2017-09-02",56
"2017-09-03",66
"2017-09-04",63
"2017-09-05",64
"2017-09-06",68
"2017-09-07",59
"2017-09-08",56
"2017-09-09",57
"2017-09-10",69
"2017-09-11",67
"2017-09-12",65
"2017-09-13",60
"2017-09-14",56
"2017-09-15",49
"2017-09-16",52
"2017-09-17",72
"2017-09-18",64
"2017-09-19",58
"2017-09-20",53
"2017-09-21",52
"2017-09-22",56
"2017-09-23",50
"2017-09-24",62
"2017-09-25",59
"2017-09-26",57
"2017-09-27",57
"2017-09-28",53
"2017-09-29",47
"2017-09-30",53
"2017-10-01",71
"2017-10-02",60
"2017-10-03",47
"2017-10-04",59
"2017-10-05",74
"2017-10-06",77
"2017-10-07",80
"2017-10-08",80
"2017-10-09",91
"2017-10-10",77
"2017-10-11",74
"2017-10-12",75
"2017-10-13",59
"2017-10-14",55
"2017-10-15",70
"2017-10-16",69
"2017-10-17",65
"2017-10-18",72
"2017-10-19",65
"2017-10-20",56
"2017-10-21",52
"2017-10-22",74
"2017-10-23",67
"2017-10-24",58
"2017-10-25",56
"2017-10-26",62
"2017-10-27",56
"2017-10-28",67
"2017-10-29",82
"2017-10-30",68
"2017-10-31",65
"2017-11-01",68
"2017-11-02",72
"2017-11-03",60
"2017-11-04",64
"2017-11-05",70
"2017-11-06",69
"2017-11-07",69
"2017-11-08",65
"2017-11-09",74
"2017-11-10",67
"2017-11-11",71
"2017-11-12",85
"2017-11-13",64
"2017-11-14",74
"2017-11-15",69
"2017-11-16",59
"2017-11-17",58
"2017-11-18",72
"2017-11-19",81
"2017-11-20",70
"2017-11-21",57
"2017-11-22",64
"2017-11-23",64
"2017-11-24",57
"2017-11-25",66
"2017-11-26",78
"2017-11-27",64
"2017-11-28",68
"2017-11-29",65
"2017-11-30",64
"2017-12-01",65
"2017-12-02",64
"2017-12-03",84
"2017-12-04",76
"2017-12-05",79
"2017-12-06",70
"2017-12-07",68
"2017-12-08",72
"2017-12-09",69
"2017-12-10",100
"2017-12-11",79
"2017-12-12",67
"2017-12-13",80
"2017-12-14",64
"2017-12-15",68
"2017-12-16",68
"2017-12-17",85
"2017-12-18",72
"2017-12-19",66
"2017-12-20",70
"2017-12-21",61
"2017-12-22",58
"2017-12-23",63
"2017-12-24",78
"2017-12-25",84
"2017-12-26",91
"2017-12-27",83
"2017-12-28",75
"2017-12-29",58
"2017-12-30",68
"2017-12-31",71
"2018-01-01",86
"2018-01-02",78
"2018-01-03",80
"2018-01-04",84
"2018-01-05",77
"2018-01-06",77
"2018-01-07",98
"2018-01-08",91
"2018-01-09",76
"2018-01-10",71
"2018-01-11",78
"2018-01-12",76
"2018-01-13",73
"2018-01-14",87
"2018-01-15",68
"2018-01-16",69
"2018-01-17",83
"2018-01-18",62
"2018-01-19",66
"2018-01-20",64
"2018-01-21",82
"2018-01-22",79
"2018-01-23",68
"2018-01-24",74
"2018-01-25",74
"2018-01-26",61
"2018-01-27",67
"2018-01-28",86
"2018-01-29",80
"2018-01-30",79
"2018-01-31",89
"2018-02-01",76
"2018-02-02",61
"2018-02-03",62
"2018-02-04",93
"2018-02-05",73
"2018-02-06",77
"2018-02-07",79
"2018-02-08",64
"2018-02-09",63
"2018-02-10",66
"2018-02-11",85
"2018-02-12",69
"2018-02-13",70
"2018-02-14",68
"2018-02-15",71
"2018-02-16",72
"2018-02-17",76
"2018-02-18",99
"2018-02-19",98
"2018-02-20",85
"2018-02-21",74
"2018-02-22",65
"2018-02-23",62
"2018-02-24",63
"2018-02-25",73
"2018-02-26",73
"2018-02-27",76
"2018-02-28",71
"2018-03-01",89
"2018-03-02",60
"2018-03-03",78
"2018-03-04",91
"2018-03-05",70
"2018-03-06",65
"2018-03-07",62
"2018-03-08",67
"2018-03-09",61
"2018-03-10",68
"2018-03-11",92
"2018-03-12",73
"2018-03-13",70
"2018-03-14",63
"2018-03-15",66
"2018-03-16",64
"2018-03-17",64
"2018-03-18",86
"2018-03-19",65
"2018-03-20",67
"2018-03-21",65
"2018-03-22",56
"2018-03-23",52
"2018-03-24",64
"2018-03-25",75
"2018-03-26",64
"2018-03-27",61
"2018-03-28",64
"2018-03-29",61
"2018-03-30",56
"2018-03-31",62
"2018-04-01",82
"2018-04-02",69
"2018-04-03",61
"2018-04-04",60
"2018-04-05",61
"2018-04-06",52
"2018-04-07",50
"2018-04-08",78
"2018-04-09",66
"2018-04-10",59
"2018-04-11",60
"2018-04-12",61
"2018-04-13",62
"2018-04-14",64
"2018-04-15",75
"2018-04-16",66
"2018-04-17",65
"2018-04-18",61
"2018-04-19",57
