네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","키보드"
"2017-08-01",40
"2017-08-02",39
"2017-08-03",33
"2017-08-04",29
"2017-08-05",30
"2017-08-06",36
"2017-08-07",46
"2017-08-08",46
"2017-08-09",43
"2017-08-10",36
"2017-08-11",35
"2017-08-12",26
"2017-08-13",32
"2017-08-14",36
"2017-08-15",44
"2017-08-16",43
"2017-08-17",47
"2017-08-18",37
"2017-08-19",34
"2017-08-20",44
"2017-08-21",43
"2017-08-22",51
"2017-08-23",44
"2017-08-24",48
"2017-08-25",32
"2017-08-26",38
"2017-08-27",41
"2017-08-28",41
"2017-08-29",41
"2017-08-30",38
"2017-08-31",39
"2017-09-01",34
"2017-09-02",36
"2017-09-03",46
"2017-09-04",40
"2017-09-05",38
"2017-09-06",37
"2017-09-07",39
"2017-09-08",36
"2017-09-09",32
"2017-09-10",35
"2017-09-11",38
"2017-09-12",38
"2017-09-13",40
"2017-09-14",36
"2017-09-15",30
"2017-09-16",29
"2017-09-17",32
"2017-09-18",35
"2017-09-19",38
"2017-09-20",37
"2017-09-21",32
"2017-09-22",34
"2017-09-23",32
"2017-09-24",31
"2017-09-25",48
"2017-09-26",53
"2017-09-27",47
"2017-09-28",45
"2017-09-29",34
"2017-09-30",35
"2017-10-01",40
"2017-10-02",36
"2017-10-03",43
"2017-10-04",51
"2017-10-05",47
"2017-10-06",51
"2017-10-07",52
"2017-10-08",50
"2017-10-09",65
"2017-10-10",65
"2017-10-11",63
"2017-10-12",55
"2017-10-13",45
"2017-10-14",51
"2017-10-15",60
"2017-10-16",51
"2017-10-17",56
"2017-10-18",54
"2017-10-19",54
"2017-10-20",54
"2017-10-21",44
"2017-10-22",60
"2017-10-23",62
"2017-10-24",55
"2017-10-25",61
"2017-10-26",51
"2017-10-27",50
"2017-10-28",51
"2017-10-29",61
"2017-10-30",55
"2017-10-31",53
"2017-11-01",63
"2017-11-02",59
"2017-11-03",47
"2017-11-04",47
"2017-11-05",59
"2017-11-06",52
"2017-11-07",51
"2017-11-08",57
"2017-11-09",57
"2017-11-10",49
"2017-11-11",51
"2017-11-12",63
"2017-11-13",60
"2017-11-14",56
"2017-11-15",47
"2017-11-16",53
"2017-11-17",45
"2017-11-18",47
"2017-11-19",56
"2017-11-20",55
"2017-11-21",56
"2017-11-22",52
"2017-11-23",54
"2017-11-24",44
"2017-11-25",49
"2017-11-26",64
"2017-11-27",58
"2017-11-28",52
"2017-11-29",58
"2017-11-30",55
"2017-12-01",57
"2017-12-02",56
"2017-12-03",61
"2017-12-04",64
"2017-12-05",60
"2017-12-06",61
"2017-12-07",65
"2017-12-08",59
"2017-12-09",62
"2017-12-10",63
"2017-12-11",61
"2017-12-12",67
"2017-12-13",67
"2017-12-14",52
"2017-12-15",48
"2017-12-16",51
"2017-12-17",63
"2017-12-18",61
"2017-12-19",61
"2017-12-20",66
"2017-12-21",60
"2017-12-22",54
"2017-12-23",61
"2017-12-24",62
"2017-12-25",73
"2017-12-26",73
"2017-12-27",67
"2017-12-28",62
"2017-12-29",61
"2017-12-30",65
"2017-12-31",70
"2018-01-01",76
"2018-01-02",79
"2018-01-03",80
"2018-01-04",80
"2018-01-05",69
"2018-01-06",62
"2018-01-07",71
"2018-01-08",80
"2018-01-09",79
"2018-01-10",77
"2018-01-11",89
"2018-01-12",74
"2018-01-13",72
"2018-01-14",76
"2018-01-15",82
"2018-01-16",79
"2018-01-17",91
"2018-01-18",75
"2018-01-19",77
"2018-01-20",68
"2018-01-21",83
"2018-01-22",86
"2018-01-23",77
"2018-01-24",85
"2018-01-25",76
"2018-01-26",74
"2018-01-27",67
"2018-01-28",77
"2018-01-29",79
"2018-01-30",84
"2018-01-31",77
"2018-02-01",80
"2018-02-02",73
"2018-02-03",68
"2018-02-04",75
"2018-02-05",76
"2018-02-06",78
"2018-02-07",79
"2018-02-08",69
"2018-02-09",59
"2018-02-10",58
"2018-02-11",68
"2018-02-12",70
"2018-02-13",68
"2018-02-14",61
"2018-02-15",70
"2018-02-16",92
"2018-02-17",91
"2018-02-18",96
"2018-02-19",100
"2018-02-20",94
"2018-02-21",86
"2018-02-22",87
"2018-02-23",79
"2018-02-24",82
"2018-02-25",87
"2018-02-26",98
"2018-02-27",86
"2018-02-28",94
"2018-03-01",84
"2018-03-02",66
"2018-03-03",68
"2018-03-04",82
"2018-03-05",71
"2018-03-06",66
"2018-03-07",69
"2018-03-08",63
"2018-03-09",60
"2018-03-10",63
"2018-03-11",81
"2018-03-12",72
"2018-03-13",67
"2018-03-14",56
"2018-03-15",66
"2018-03-16",57
"2018-03-17",65
"2018-03-18",75
"2018-03-19",67
"2018-03-20",63
"2018-03-21",60
"2018-03-22",60
"2018-03-23",64
"2018-03-24",61
"2018-03-25",70
"2018-03-26",66
"2018-03-27",65
"2018-03-28",62
"2018-03-29",63
"2018-03-30",52
"2018-03-31",56
"2018-04-01",65
"2018-04-02",69
"2018-04-03",65
"2018-04-04",66
"2018-04-05",69
"2018-04-06",56
"2018-04-07",57
"2018-04-08",71
"2018-04-09",60
"2018-04-10",62
"2018-04-11",63
"2018-04-12",61
"2018-04-13",55
"2018-04-14",65
"2018-04-15",70
"2018-04-16",61
"2018-04-17",67
"2018-04-18",63
"2018-04-19",60
