네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이폰x케이스"
"2017-09-11",
"2017-09-12",
"2017-09-13",
"2017-09-14",
"2017-09-15",
"2017-09-16",
"2017-09-17",
"2017-09-18",
"2017-09-19",
"2017-09-20",
"2017-09-21",
"2017-09-22",
"2017-09-23",
"2017-09-24",
"2017-09-25",
"2017-09-26",
"2017-09-27",
"2017-09-28",
"2017-09-29",
"2017-09-30",
"2017-10-01",
"2017-10-02",
"2017-10-03",
"2017-10-04",
"2017-10-05",
"2017-10-06",
"2017-10-07",
"2017-10-08",
"2017-10-09",1
"2017-10-10",1
"2017-10-11",1
"2017-10-12",
"2017-10-13",
"2017-10-14",
"2017-10-15",1
"2017-10-16",1
"2017-10-17",
"2017-10-18",1
"2017-10-19",1
"2017-10-20",1
"2017-10-21",1
"2017-10-22",1
"2017-10-23",1
"2017-10-24",1
"2017-10-25",1
"2017-10-26",1
"2017-10-27",2
"2017-10-28",3
"2017-10-29",3
"2017-10-30",3
"2017-10-31",2
"2017-11-01",2
"2017-11-02",3
"2017-11-03",4
"2017-11-04",6
"2017-11-05",7
"2017-11-06",8
"2017-11-07",9
"2017-11-08",16
"2017-11-09",13
"2017-11-10",10
"2017-11-11",10
"2017-11-12",12
"2017-11-13",11
"2017-11-14",11
"2017-11-15",13
"2017-11-16",16
"2017-11-17",31
"2017-11-18",30
"2017-11-19",31
"2017-11-20",35
"2017-11-21",40
"2017-11-22",45
"2017-11-23",50
"2017-11-24",60
"2017-11-25",65
"2017-11-26",62
"2017-11-27",70
"2017-11-28",63
"2017-11-29",54
"2017-11-30",46
"2017-12-01",99
"2017-12-02",98
"2017-12-03",100
"2017-12-04",44
"2017-12-05",43
"2017-12-06",36
"2017-12-07",29
"2017-12-08",23
"2017-12-09",19
"2017-12-10",24
"2017-12-11",26
"2017-12-12",25
"2017-12-13",23
"2017-12-14",19
"2017-12-15",17
"2017-12-16",18
"2017-12-17",19
"2017-12-18",19
"2017-12-19",19
"2017-12-20",19
"2017-12-21",17
"2017-12-22",14
"2017-12-23",14
"2017-12-24",15
"2017-12-25",16
"2017-12-26",19
"2017-12-27",17
"2017-12-28",16
"2017-12-29",14
"2017-12-30",14
"2017-12-31",13
"2018-01-01",18
"2018-01-02",19
"2018-01-03",18
"2018-01-04",15
"2018-01-05",14
"2018-01-06",16
"2018-01-07",19
"2018-01-08",19
"2018-01-09",16
"2018-01-10",16
"2018-01-11",15
"2018-01-12",13
"2018-01-13",15
"2018-01-14",17
"2018-01-15",17
"2018-01-16",17
"2018-01-17",16
"2018-01-18",15
"2018-01-19",12
"2018-01-20",14
"2018-01-21",15
"2018-01-22",14
"2018-01-23",14
"2018-01-24",12
"2018-01-25",12
"2018-01-26",11
"2018-01-27",12
"2018-01-28",15
"2018-01-29",14
"2018-01-30",13
"2018-01-31",13
"2018-02-01",14
"2018-02-02",11
"2018-02-03",11
"2018-02-04",14
"2018-02-05",13
"2018-02-06",12
"2018-02-07",13
"2018-02-08",13
"2018-02-09",10
"2018-02-10",11
"2018-02-11",13
"2018-02-12",11
"2018-02-13",10
"2018-02-14",9
"2018-02-15",11
"2018-02-16",10
"2018-02-17",10
"2018-02-18",13
"2018-02-19",13
"2018-02-20",14
"2018-02-21",13
"2018-02-22",13
"2018-02-23",11
"2018-02-24",10
"2018-02-25",13
"2018-02-26",12
"2018-02-27",13
"2018-02-28",13
"2018-03-01",13
"2018-03-02",11
"2018-03-03",12
"2018-03-04",15
"2018-03-05",14
"2018-03-06",13
"2018-03-07",13
"2018-03-08",13
"2018-03-09",12
"2018-03-10",12
"2018-03-11",15
"2018-03-12",15
"2018-03-13",13
"2018-03-14",13
"2018-03-15",12
"2018-03-16",10
"2018-03-17",12
"2018-03-18",14
"2018-03-19",14
"2018-03-20",14
"2018-03-21",14
"2018-03-22",12
"2018-03-23",10
"2018-03-24",12
"2018-03-25",14
"2018-03-26",13
"2018-03-27",13
"2018-03-28",13
"2018-03-29",11
"2018-03-30",10
"2018-03-31",9
"2018-04-01",14
"2018-04-02",13
"2018-04-03",13
"2018-04-04",14
"2018-04-05",13
"2018-04-06",11
"2018-04-07",11
"2018-04-08",13
"2018-04-09",13
"2018-04-10",15
"2018-04-11",14
"2018-04-12",12
"2018-04-13",11
"2018-04-14",13
"2018-04-15",14
"2018-04-16",13
"2018-04-17",14
"2018-04-18",12
"2018-04-19",13
