네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에어프라이어"
"2017-08-01",16
"2017-08-02",13
"2017-08-03",12
"2017-08-04",12
"2017-08-05",11
"2017-08-06",15
"2017-08-07",15
"2017-08-08",15
"2017-08-09",15
"2017-08-10",16
"2017-08-11",14
"2017-08-12",13
"2017-08-13",15
"2017-08-14",19
"2017-08-15",18
"2017-08-16",24
"2017-08-17",21
"2017-08-18",17
"2017-08-19",16
"2017-08-20",22
"2017-08-21",22
"2017-08-22",20
"2017-08-23",20
"2017-08-24",16
"2017-08-25",16
"2017-08-26",13
"2017-08-27",14
"2017-08-28",13
"2017-08-29",14
"2017-08-30",14
"2017-08-31",14
"2017-09-01",15
"2017-09-02",14
"2017-09-03",19
"2017-09-04",19
"2017-09-05",22
"2017-09-06",20
"2017-09-07",18
"2017-09-08",17
"2017-09-09",16
"2017-09-10",18
"2017-09-11",19
"2017-09-12",18
"2017-09-13",27
"2017-09-14",28
"2017-09-15",19
"2017-09-16",17
"2017-09-17",21
"2017-09-18",19
"2017-09-19",19
"2017-09-20",19
"2017-09-21",20
"2017-09-22",16
"2017-09-23",14
"2017-09-24",18
"2017-09-25",21
"2017-09-26",22
"2017-09-27",19
"2017-09-28",16
"2017-09-29",14
"2017-09-30",14
"2017-10-01",21
"2017-10-02",13
"2017-10-03",10
"2017-10-04",12
"2017-10-05",12
"2017-10-06",16
"2017-10-07",17
"2017-10-08",17
"2017-10-09",22
"2017-10-10",23
"2017-10-11",21
"2017-10-12",20
"2017-10-13",17
"2017-10-14",17
"2017-10-15",19
"2017-10-16",22
"2017-10-17",19
"2017-10-18",18
"2017-10-19",15
"2017-10-20",14
"2017-10-21",14
"2017-10-22",18
"2017-10-23",19
"2017-10-24",19
"2017-10-25",21
"2017-10-26",21
"2017-10-27",16
"2017-10-28",14
"2017-10-29",19
"2017-10-30",18
"2017-10-31",15
"2017-11-01",21
"2017-11-02",17
"2017-11-03",18
"2017-11-04",18
"2017-11-05",21
"2017-11-06",23
"2017-11-07",22
"2017-11-08",32
"2017-11-09",26
"2017-11-10",20
"2017-11-11",17
"2017-11-12",20
"2017-11-13",25
"2017-11-14",25
"2017-11-15",21
"2017-11-16",20
"2017-11-17",19
"2017-11-18",17
"2017-11-19",22
"2017-11-20",28
"2017-11-21",25
"2017-11-22",23
"2017-11-23",27
"2017-11-24",26
"2017-11-25",21
"2017-11-26",24
"2017-11-27",28
"2017-11-28",25
"2017-11-29",23
"2017-11-30",23
"2017-12-01",21
"2017-12-02",22
"2017-12-03",26
"2017-12-04",26
"2017-12-05",29
"2017-12-06",27
"2017-12-07",27
"2017-12-08",26
"2017-12-09",24
"2017-12-10",36
"2017-12-11",39
"2017-12-12",33
"2017-12-13",30
"2017-12-14",31
"2017-12-15",30
"2017-12-16",30
"2017-12-17",34
"2017-12-18",33
"2017-12-19",33
"2017-12-20",29
"2017-12-21",29
"2017-12-22",21
"2017-12-23",19
"2017-12-24",21
"2017-12-25",26
"2017-12-26",27
"2017-12-27",30
"2017-12-28",25
"2017-12-29",23
"2017-12-30",22
"2017-12-31",21
"2018-01-01",37
"2018-01-02",38
"2018-01-03",38
"2018-01-04",39
"2018-01-05",36
"2018-01-06",34
"2018-01-07",44
"2018-01-08",42
"2018-01-09",40
"2018-01-10",47
"2018-01-11",56
"2018-01-12",47
"2018-01-13",48
"2018-01-14",49
"2018-01-15",48
"2018-01-16",85
"2018-01-17",56
"2018-01-18",59
"2018-01-19",53
"2018-01-20",50
"2018-01-21",74
"2018-01-22",64
"2018-01-23",75
"2018-01-24",71
"2018-01-25",75
"2018-01-26",60
"2018-01-27",57
"2018-01-28",64
"2018-01-29",61
"2018-01-30",61
"2018-01-31",65
"2018-02-01",79
"2018-02-02",61
"2018-02-03",57
"2018-02-04",69
"2018-02-05",80
"2018-02-06",72
"2018-02-07",75
"2018-02-08",75
"2018-02-09",68
"2018-02-10",55
"2018-02-11",74
"2018-02-12",67
"2018-02-13",49
"2018-02-14",39
"2018-02-15",42
"2018-02-16",37
"2018-02-17",52
"2018-02-18",59
"2018-02-19",62
"2018-02-20",58
"2018-02-21",52
"2018-02-22",86
"2018-02-23",100
"2018-02-24",62
"2018-02-25",61
"2018-02-26",58
"2018-02-27",58
"2018-02-28",48
"2018-03-01",56
"2018-03-02",50
"2018-03-03",55
"2018-03-04",66
"2018-03-05",54
"2018-03-06",62
"2018-03-07",58
"2018-03-08",59
"2018-03-09",47
"2018-03-10",53
"2018-03-11",65
"2018-03-12",58
"2018-03-13",51
"2018-03-14",42
"2018-03-15",41
"2018-03-16",46
"2018-03-17",44
"2018-03-18",52
"2018-03-19",67
"2018-03-20",66
"2018-03-21",67
"2018-03-22",67
"2018-03-23",57
"2018-03-24",43
"2018-03-25",45
"2018-03-26",50
"2018-03-27",62
"2018-03-28",60
"2018-03-29",56
"2018-03-30",44
"2018-03-31",41
"2018-04-01",52
"2018-04-02",43
"2018-04-03",43
"2018-04-04",47
"2018-04-05",46
"2018-04-06",43
"2018-04-07",42
"2018-04-08",51
"2018-04-09",69
"2018-04-10",65
"2018-04-11",59
"2018-04-12",56
"2018-04-13",45
"2018-04-14",49
"2018-04-15",51
"2018-04-16",54
"2018-04-17",59
"2018-04-18",60
"2018-04-19",47
