네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아임닭"
"2017-08-01",39
"2017-08-02",35
"2017-08-03",30
"2017-08-04",26
"2017-08-05",20
"2017-08-06",30
"2017-08-07",38
"2017-08-08",39
"2017-08-09",41
"2017-08-10",37
"2017-08-11",24
"2017-08-12",19
"2017-08-13",21
"2017-08-14",28
"2017-08-15",34
"2017-08-16",37
"2017-08-17",35
"2017-08-18",28
"2017-08-19",17
"2017-08-20",30
"2017-08-21",45
"2017-08-22",43
"2017-08-23",34
"2017-08-24",31
"2017-08-25",24
"2017-08-26",19
"2017-08-27",24
"2017-08-28",33
"2017-08-29",33
"2017-08-30",30
"2017-08-31",25
"2017-09-01",25
"2017-09-02",15
"2017-09-03",27
"2017-09-04",40
"2017-09-05",33
"2017-09-06",31
"2017-09-07",26
"2017-09-08",22
"2017-09-09",15
"2017-09-10",25
"2017-09-11",35
"2017-09-12",34
"2017-09-13",26
"2017-09-14",25
"2017-09-15",17
"2017-09-16",13
"2017-09-17",17
"2017-09-18",31
"2017-09-19",27
"2017-09-20",28
"2017-09-21",24
"2017-09-22",19
"2017-09-23",10
"2017-09-24",16
"2017-09-25",24
"2017-09-26",26
"2017-09-27",22
"2017-09-28",13
"2017-09-29",9
"2017-09-30",7
"2017-10-01",5
"2017-10-02",7
"2017-10-03",6
"2017-10-04",6
"2017-10-05",8
"2017-10-06",11
"2017-10-07",14
"2017-10-08",24
"2017-10-09",36
"2017-10-10",58
"2017-10-11",56
"2017-10-12",100
"2017-10-13",30
"2017-10-14",25
"2017-10-15",26
"2017-10-16",45
"2017-10-17",44
"2017-10-18",33
"2017-10-19",33
"2017-10-20",23
"2017-10-21",16
"2017-10-22",22
"2017-10-23",36
"2017-10-24",46
"2017-10-25",36
"2017-10-26",36
"2017-10-27",26
"2017-10-28",16
"2017-10-29",25
"2017-10-30",34
"2017-10-31",35
"2017-11-01",36
"2017-11-02",35
"2017-11-03",24
"2017-11-04",18
"2017-11-05",23
"2017-11-06",47
"2017-11-07",38
"2017-11-08",31
"2017-11-09",30
"2017-11-10",19
"2017-11-11",11
"2017-11-12",21
"2017-11-13",42
"2017-11-14",35
"2017-11-15",33
"2017-11-16",28
"2017-11-17",18
"2017-11-18",14
"2017-11-19",21
"2017-11-20",29
"2017-11-21",27
"2017-11-22",24
"2017-11-23",24
"2017-11-24",15
"2017-11-25",11
"2017-11-26",21
"2017-11-27",39
"2017-11-28",33
"2017-11-29",35
"2017-11-30",26
"2017-12-01",18
"2017-12-02",18
"2017-12-03",22
"2017-12-04",34
"2017-12-05",27
"2017-12-06",25
"2017-12-07",23
"2017-12-08",17
"2017-12-09",15
"2017-12-10",17
"2017-12-11",24
"2017-12-12",25
"2017-12-13",29
"2017-12-14",22
"2017-12-15",13
"2017-12-16",12
"2017-12-17",16
"2017-12-18",22
"2017-12-19",24
"2017-12-20",19
"2017-12-21",23
"2017-12-22",17
"2017-12-23",11
"2017-12-24",9
"2017-12-25",17
"2017-12-26",25
"2017-12-27",24
"2017-12-28",19
"2017-12-29",16
"2017-12-30",11
"2017-12-31",10
"2018-01-01",26
"2018-01-02",42
"2018-01-03",37
"2018-01-04",34
"2018-01-05",27
"2018-01-06",17
"2018-01-07",25
"2018-01-08",57
"2018-01-09",37
"2018-01-10",42
"2018-01-11",28
"2018-01-12",24
"2018-01-13",21
"2018-01-14",30
"2018-01-15",47
"2018-01-16",40
"2018-01-17",34
"2018-01-18",34
"2018-01-19",22
"2018-01-20",18
"2018-01-21",22
"2018-01-22",48
"2018-01-23",43
"2018-01-24",33
"2018-01-25",32
"2018-01-26",21
"2018-01-27",16
"2018-01-28",26
"2018-01-29",41
"2018-01-30",36
"2018-01-31",35
"2018-02-01",42
"2018-02-02",30
"2018-02-03",22
"2018-02-04",24
"2018-02-05",40
"2018-02-06",35
"2018-02-07",33
"2018-02-08",26
"2018-02-09",20
"2018-02-10",15
"2018-02-11",15
"2018-02-12",19
"2018-02-13",17
"2018-02-14",10
"2018-02-15",9
"2018-02-16",10
"2018-02-17",13
"2018-02-18",18
"2018-02-19",45
"2018-02-20",34
"2018-02-21",34
"2018-02-22",26
"2018-02-23",27
"2018-02-24",40
"2018-02-25",29
"2018-02-26",39
"2018-02-27",34
"2018-02-28",27
"2018-03-01",29
"2018-03-02",29
"2018-03-03",18
"2018-03-04",29
"2018-03-05",44
"2018-03-06",38
"2018-03-07",34
"2018-03-08",31
"2018-03-09",23
"2018-03-10",21
"2018-03-11",30
"2018-03-12",36
"2018-03-13",37
"2018-03-14",31
"2018-03-15",32
"2018-03-16",26
"2018-03-17",17
"2018-03-18",24
"2018-03-19",39
"2018-03-20",35
"2018-03-21",34
"2018-03-22",33
"2018-03-23",22
"2018-03-24",15
"2018-03-25",23
"2018-03-26",42
"2018-03-27",37
"2018-03-28",39
"2018-03-29",34
"2018-03-30",27
"2018-03-31",19
"2018-04-01",28
"2018-04-02",43
"2018-04-03",36
"2018-04-04",37
"2018-04-05",36
"2018-04-06",22
"2018-04-07",17
"2018-04-08",30
"2018-04-09",36
"2018-04-10",43
"2018-04-11",46
"2018-04-12",39
"2018-04-13",26
"2018-04-14",21
"2018-04-15",26
"2018-04-16",40
"2018-04-17",41
"2018-04-18",35
"2018-04-19",34
