네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","단백질쉐이크"
"2017-08-01",43
"2017-08-02",52
"2017-08-03",38
"2017-08-04",36
"2017-08-05",26
"2017-08-06",63
"2017-08-07",70
"2017-08-08",50
"2017-08-09",43
"2017-08-10",50
"2017-08-11",36
"2017-08-12",31
"2017-08-13",47
"2017-08-14",51
"2017-08-15",39
"2017-08-16",52
"2017-08-17",61
"2017-08-18",47
"2017-08-19",39
"2017-08-20",50
"2017-08-21",63
"2017-08-22",58
"2017-08-23",56
"2017-08-24",62
"2017-08-25",55
"2017-08-26",48
"2017-08-27",42
"2017-08-28",57
"2017-08-29",54
"2017-08-30",66
"2017-08-31",52
"2017-09-01",40
"2017-09-02",34
"2017-09-03",44
"2017-09-04",52
"2017-09-05",58
"2017-09-06",46
"2017-09-07",42
"2017-09-08",41
"2017-09-09",29
"2017-09-10",32
"2017-09-11",43
"2017-09-12",45
"2017-09-13",52
"2017-09-14",41
"2017-09-15",29
"2017-09-16",26
"2017-09-17",38
"2017-09-18",40
"2017-09-19",40
"2017-09-20",35
"2017-09-21",34
"2017-09-22",23
"2017-09-23",28
"2017-09-24",29
"2017-09-25",52
"2017-09-26",44
"2017-09-27",41
"2017-09-28",35
"2017-09-29",20
"2017-09-30",28
"2017-10-01",24
"2017-10-02",19
"2017-10-03",20
"2017-10-04",20
"2017-10-05",26
"2017-10-06",33
"2017-10-07",46
"2017-10-08",38
"2017-10-09",50
"2017-10-10",54
"2017-10-11",52
"2017-10-12",39
"2017-10-13",36
"2017-10-14",30
"2017-10-15",40
"2017-10-16",47
"2017-10-17",39
"2017-10-18",42
"2017-10-19",40
"2017-10-20",29
"2017-10-21",24
"2017-10-22",46
"2017-10-23",42
"2017-10-24",42
"2017-10-25",36
"2017-10-26",35
"2017-10-27",35
"2017-10-28",27
"2017-10-29",38
"2017-10-30",36
"2017-10-31",35
"2017-11-01",40
"2017-11-02",41
"2017-11-03",29
"2017-11-04",31
"2017-11-05",31
"2017-11-06",37
"2017-11-07",43
"2017-11-08",47
"2017-11-09",42
"2017-11-10",31
"2017-11-11",32
"2017-11-12",36
"2017-11-13",47
"2017-11-14",44
"2017-11-15",38
"2017-11-16",36
"2017-11-17",29
"2017-11-18",30
"2017-11-19",36
"2017-11-20",42
"2017-11-21",33
"2017-11-22",34
"2017-11-23",38
"2017-11-24",29
"2017-11-25",25
"2017-11-26",29
"2017-11-27",47
"2017-11-28",49
"2017-11-29",42
"2017-11-30",36
"2017-12-01",34
"2017-12-02",30
"2017-12-03",40
"2017-12-04",49
"2017-12-05",43
"2017-12-06",38
"2017-12-07",37
"2017-12-08",25
"2017-12-09",25
"2017-12-10",47
"2017-12-11",39
"2017-12-12",36
"2017-12-13",35
"2017-12-14",29
"2017-12-15",25
"2017-12-16",27
"2017-12-17",31
"2017-12-18",35
"2017-12-19",40
"2017-12-20",42
"2017-12-21",34
"2017-12-22",28
"2017-12-23",24
"2017-12-24",29
"2017-12-25",33
"2017-12-26",40
"2017-12-27",32
"2017-12-28",47
"2017-12-29",28
"2017-12-30",30
"2017-12-31",30
"2018-01-01",51
"2018-01-02",49
"2018-01-03",53
"2018-01-04",43
"2018-01-05",43
"2018-01-06",34
"2018-01-07",41
"2018-01-08",62
"2018-01-09",53
"2018-01-10",59
"2018-01-11",45
"2018-01-12",38
"2018-01-13",41
"2018-01-14",53
"2018-01-15",60
"2018-01-16",68
"2018-01-17",65
"2018-01-18",69
"2018-01-19",45
"2018-01-20",52
"2018-01-21",58
"2018-01-22",71
"2018-01-23",62
"2018-01-24",58
"2018-01-25",52
"2018-01-26",43
"2018-01-27",42
"2018-01-28",62
"2018-01-29",63
"2018-01-30",83
"2018-01-31",66
"2018-02-01",69
"2018-02-02",56
"2018-02-03",48
"2018-02-04",67
"2018-02-05",87
"2018-02-06",80
"2018-02-07",64
"2018-02-08",63
"2018-02-09",46
"2018-02-10",46
"2018-02-11",56
"2018-02-12",58
"2018-02-13",39
"2018-02-14",39
"2018-02-15",32
"2018-02-16",36
"2018-02-17",49
"2018-02-18",57
"2018-02-19",83
"2018-02-20",69
"2018-02-21",79
"2018-02-22",62
"2018-02-23",57
"2018-02-24",53
"2018-02-25",57
"2018-02-26",75
"2018-02-27",77
"2018-02-28",58
"2018-03-01",70
"2018-03-02",57
"2018-03-03",54
"2018-03-04",90
"2018-03-05",90
"2018-03-06",82
"2018-03-07",71
"2018-03-08",64
"2018-03-09",61
"2018-03-10",52
"2018-03-11",66
"2018-03-12",83
"2018-03-13",79
"2018-03-14",69
"2018-03-15",67
"2018-03-16",61
"2018-03-17",51
"2018-03-18",68
"2018-03-19",87
"2018-03-20",75
"2018-03-21",78
"2018-03-22",81
"2018-03-23",51
"2018-03-24",55
"2018-03-25",78
"2018-03-26",92
"2018-03-27",88
"2018-03-28",91
"2018-03-29",76
"2018-03-30",61
"2018-03-31",58
"2018-04-01",89
"2018-04-02",100
"2018-04-03",85
"2018-04-04",89
"2018-04-05",84
"2018-04-06",66
"2018-04-07",59
"2018-04-08",67
"2018-04-09",83
"2018-04-10",85
"2018-04-11",82
"2018-04-12",67
"2018-04-13",72
"2018-04-14",71
"2018-04-15",79
"2018-04-16",74
"2018-04-17",76
"2018-04-18",79
"2018-04-19",70
