네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","프로바이오틱스"
"2017-08-01",20
"2017-08-02",21
"2017-08-03",19
"2017-08-04",19
"2017-08-05",15
"2017-08-06",14
"2017-08-07",18
"2017-08-08",19
"2017-08-09",17
"2017-08-10",13
"2017-08-11",14
"2017-08-12",13
"2017-08-13",19
"2017-08-14",19
"2017-08-15",39
"2017-08-16",25
"2017-08-17",27
"2017-08-18",19
"2017-08-19",32
"2017-08-20",21
"2017-08-21",25
"2017-08-22",57
"2017-08-23",27
"2017-08-24",20
"2017-08-25",17
"2017-08-26",17
"2017-08-27",18
"2017-08-28",43
"2017-08-29",26
"2017-08-30",30
"2017-08-31",37
"2017-09-01",40
"2017-09-02",26
"2017-09-03",28
"2017-09-04",50
"2017-09-05",99
"2017-09-06",37
"2017-09-07",34
"2017-09-08",26
"2017-09-09",26
"2017-09-10",33
"2017-09-11",30
"2017-09-12",27
"2017-09-13",25
"2017-09-14",26
"2017-09-15",20
"2017-09-16",46
"2017-09-17",24
"2017-09-18",31
"2017-09-19",65
"2017-09-20",27
"2017-09-21",28
"2017-09-22",20
"2017-09-23",17
"2017-09-24",20
"2017-09-25",30
"2017-09-26",24
"2017-09-27",23
"2017-09-28",24
"2017-09-29",34
"2017-09-30",17
"2017-10-01",26
"2017-10-02",16
"2017-10-03",17
"2017-10-04",14
"2017-10-05",21
"2017-10-06",21
"2017-10-07",26
"2017-10-08",25
"2017-10-09",37
"2017-10-10",36
"2017-10-11",27
"2017-10-12",32
"2017-10-13",20
"2017-10-14",29
"2017-10-15",21
"2017-10-16",32
"2017-10-17",24
"2017-10-18",46
"2017-10-19",34
"2017-10-20",25
"2017-10-21",41
"2017-10-22",21
"2017-10-23",25
"2017-10-24",75
"2017-10-25",42
"2017-10-26",33
"2017-10-27",26
"2017-10-28",22
"2017-10-29",31
"2017-10-30",26
"2017-10-31",37
"2017-11-01",31
"2017-11-02",41
"2017-11-03",24
"2017-11-04",19
"2017-11-05",26
"2017-11-06",28
"2017-11-07",55
"2017-11-08",34
"2017-11-09",32
"2017-11-10",24
"2017-11-11",46
"2017-11-12",36
"2017-11-13",40
"2017-11-14",29
"2017-11-15",20
"2017-11-16",25
"2017-11-17",27
"2017-11-18",26
"2017-11-19",23
"2017-11-20",31
"2017-11-21",32
"2017-11-22",28
"2017-11-23",35
"2017-11-24",25
"2017-11-25",21
"2017-11-26",61
"2017-11-27",39
"2017-11-28",50
"2017-11-29",30
"2017-11-30",26
"2017-12-01",23
"2017-12-02",44
"2017-12-03",28
"2017-12-04",30
"2017-12-05",38
"2017-12-06",27
"2017-12-07",38
"2017-12-08",23
"2017-12-09",19
"2017-12-10",28
"2017-12-11",21
"2017-12-12",36
"2017-12-13",23
"2017-12-14",27
"2017-12-15",22
"2017-12-16",19
"2017-12-17",26
"2017-12-18",27
"2017-12-19",23
"2017-12-20",25
"2017-12-21",28
"2017-12-22",36
"2017-12-23",21
"2017-12-24",20
"2017-12-25",27
"2017-12-26",35
"2017-12-27",32
"2017-12-28",25
"2017-12-29",41
"2017-12-30",46
"2017-12-31",28
"2018-01-01",34
"2018-01-02",39
"2018-01-03",44
"2018-01-04",31
"2018-01-05",64
"2018-01-06",30
"2018-01-07",34
"2018-01-08",37
"2018-01-09",30
"2018-01-10",45
"2018-01-11",34
"2018-01-12",33
"2018-01-13",25
"2018-01-14",33
"2018-01-15",56
"2018-01-16",61
"2018-01-17",38
"2018-01-18",40
"2018-01-19",30
"2018-01-20",63
"2018-01-21",45
"2018-01-22",42
"2018-01-23",42
"2018-01-24",33
"2018-01-25",29
"2018-01-26",69
"2018-01-27",28
"2018-01-28",36
"2018-01-29",35
"2018-01-30",54
"2018-01-31",35
"2018-02-01",33
"2018-02-02",31
"2018-02-03",27
"2018-02-04",30
"2018-02-05",31
"2018-02-06",55
"2018-02-07",34
"2018-02-08",26
"2018-02-09",36
"2018-02-10",23
"2018-02-11",26
"2018-02-12",23
"2018-02-13",37
"2018-02-14",20
"2018-02-15",22
"2018-02-16",29
"2018-02-17",27
"2018-02-18",46
"2018-02-19",49
"2018-02-20",36
"2018-02-21",33
"2018-02-22",31
"2018-02-23",65
"2018-02-24",31
"2018-02-25",35
"2018-02-26",48
"2018-02-27",80
"2018-02-28",46
"2018-03-01",35
"2018-03-02",34
"2018-03-03",27
"2018-03-04",40
"2018-03-05",45
"2018-03-06",35
"2018-03-07",33
"2018-03-08",38
"2018-03-09",45
"2018-03-10",21
"2018-03-11",52
"2018-03-12",35
"2018-03-13",46
"2018-03-14",27
"2018-03-15",29
"2018-03-16",23
"2018-03-17",19
"2018-03-18",27
"2018-03-19",34
"2018-03-20",32
"2018-03-21",30
"2018-03-22",69
"2018-03-23",70
"2018-03-24",30
"2018-03-25",61
"2018-03-26",46
"2018-03-27",39
"2018-03-28",35
"2018-03-29",25
"2018-03-30",41
"2018-03-31",31
"2018-04-01",100
"2018-04-02",60
"2018-04-03",49
"2018-04-04",38
"2018-04-05",37
"2018-04-06",29
"2018-04-07",49
"2018-04-08",32
"2018-04-09",42
"2018-04-10",58
"2018-04-11",42
"2018-04-12",34
"2018-04-13",35
"2018-04-14",24
"2018-04-15",29
"2018-04-16",28
"2018-04-17",40
"2018-04-18",27
"2018-04-19",38
