네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","정관장홍삼정"
"2017-08-01",20
"2017-08-02",15
"2017-08-03",10
"2017-08-04",11
"2017-08-05",11
"2017-08-06",9
"2017-08-07",15
"2017-08-08",12
"2017-08-09",13
"2017-08-10",12
"2017-08-11",12
"2017-08-12",7
"2017-08-13",11
"2017-08-14",11
"2017-08-15",11
"2017-08-16",12
"2017-08-17",13
"2017-08-18",12
"2017-08-19",9
"2017-08-20",11
"2017-08-21",17
"2017-08-22",17
"2017-08-23",15
"2017-08-24",12
"2017-08-25",14
"2017-08-26",11
"2017-08-27",14
"2017-08-28",14
"2017-08-29",19
"2017-08-30",22
"2017-08-31",16
"2017-09-01",19
"2017-09-02",15
"2017-09-03",16
"2017-09-04",27
"2017-09-05",24
"2017-09-06",25
"2017-09-07",19
"2017-09-08",24
"2017-09-09",22
"2017-09-10",26
"2017-09-11",39
"2017-09-12",38
"2017-09-13",37
"2017-09-14",36
"2017-09-15",29
"2017-09-16",31
"2017-09-17",42
"2017-09-18",55
"2017-09-19",53
"2017-09-20",49
"2017-09-21",51
"2017-09-22",45
"2017-09-23",44
"2017-09-24",63
"2017-09-25",100
"2017-09-26",94
"2017-09-27",88
"2017-09-28",74
"2017-09-29",53
"2017-09-30",43
"2017-10-01",31
"2017-10-02",32
"2017-10-03",32
"2017-10-04",32
"2017-10-05",35
"2017-10-06",38
"2017-10-07",27
"2017-10-08",33
"2017-10-09",39
"2017-10-10",42
"2017-10-11",38
"2017-10-12",41
"2017-10-13",35
"2017-10-14",27
"2017-10-15",28
"2017-10-16",37
"2017-10-17",39
"2017-10-18",31
"2017-10-19",31
"2017-10-20",27
"2017-10-21",25
"2017-10-22",42
"2017-10-23",39
"2017-10-24",38
"2017-10-25",33
"2017-10-26",33
"2017-10-27",32
"2017-10-28",21
"2017-10-29",29
"2017-10-30",31
"2017-10-31",31
"2017-11-01",32
"2017-11-02",34
"2017-11-03",32
"2017-11-04",23
"2017-11-05",33
"2017-11-06",42
"2017-11-07",37
"2017-11-08",38
"2017-11-09",38
"2017-11-10",33
"2017-11-11",26
"2017-11-12",36
"2017-11-13",33
"2017-11-14",37
"2017-11-15",32
"2017-11-16",32
"2017-11-17",25
"2017-11-18",30
"2017-11-19",29
"2017-11-20",39
"2017-11-21",36
"2017-11-22",35
"2017-11-23",33
"2017-11-24",32
"2017-11-25",30
"2017-11-26",32
"2017-11-27",39
"2017-11-28",42
"2017-11-29",36
"2017-11-30",36
"2017-12-01",38
"2017-12-02",28
"2017-12-03",48
"2017-12-04",46
"2017-12-05",51
"2017-12-06",58
"2017-12-07",46
"2017-12-08",37
"2017-12-09",32
"2017-12-10",41
"2017-12-11",48
"2017-12-12",44
"2017-12-13",51
"2017-12-14",47
"2017-12-15",39
"2017-12-16",43
"2017-12-17",45
"2017-12-18",54
"2017-12-19",49
"2017-12-20",48
"2017-12-21",40
"2017-12-22",35
"2017-12-23",33
"2017-12-24",34
"2017-12-25",49
"2017-12-26",61
"2017-12-27",62
"2017-12-28",44
"2017-12-29",39
"2017-12-30",41
"2017-12-31",40
"2018-01-01",40
"2018-01-02",40
"2018-01-03",39
"2018-01-04",36
"2018-01-05",32
"2018-01-06",34
"2018-01-07",40
"2018-01-08",51
"2018-01-09",45
"2018-01-10",43
"2018-01-11",48
"2018-01-12",36
"2018-01-13",28
"2018-01-14",41
"2018-01-15",40
"2018-01-16",43
"2018-01-17",38
"2018-01-18",35
"2018-01-19",25
"2018-01-20",28
"2018-01-21",26
"2018-01-22",41
"2018-01-23",44
"2018-01-24",46
"2018-01-25",50
"2018-01-26",42
"2018-01-27",36
"2018-01-28",53
"2018-01-29",56
"2018-01-30",64
"2018-01-31",89
"2018-02-01",80
"2018-02-02",70
"2018-02-03",61
"2018-02-04",79
"2018-02-05",94
"2018-02-06",99
"2018-02-07",93
"2018-02-08",82
"2018-02-09",88
"2018-02-10",76
"2018-02-11",80
"2018-02-12",72
"2018-02-13",47
"2018-02-14",39
"2018-02-15",37
"2018-02-16",24
"2018-02-17",28
"2018-02-18",34
"2018-02-19",45
"2018-02-20",39
"2018-02-21",36
"2018-02-22",34
"2018-02-23",25
"2018-02-24",24
"2018-02-25",26
"2018-02-26",23
"2018-02-27",28
"2018-02-28",23
"2018-03-01",29
"2018-03-02",30
"2018-03-03",23
"2018-03-04",31
"2018-03-05",34
"2018-03-06",26
"2018-03-07",35
"2018-03-08",26
"2018-03-09",22
"2018-03-10",19
"2018-03-11",20
"2018-03-12",33
"2018-03-13",27
"2018-03-14",26
"2018-03-15",30
"2018-03-16",21
"2018-03-17",21
"2018-03-18",31
"2018-03-19",33
"2018-03-20",30
"2018-03-21",34
"2018-03-22",30
"2018-03-23",24
"2018-03-24",27
"2018-03-25",26
"2018-03-26",37
"2018-03-27",31
"2018-03-28",34
"2018-03-29",23
"2018-03-30",24
"2018-03-31",17
"2018-04-01",27
"2018-04-02",27
"2018-04-03",32
"2018-04-04",29
"2018-04-05",33
"2018-04-06",20
"2018-04-07",21
"2018-04-08",25
"2018-04-09",29
"2018-04-10",34
"2018-04-11",30
"2018-04-12",25
"2018-04-13",21
"2018-04-14",25
"2018-04-15",33
"2018-04-16",38
"2018-04-17",32
"2018-04-18",29
"2018-04-19",26
