네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","차량용공기청정기"
"2017-08-01",3
"2017-08-02",3
"2017-08-03",2
"2017-08-04",2
"2017-08-05",2
"2017-08-06",2
"2017-08-07",2
"2017-08-08",3
"2017-08-09",2
"2017-08-10",2
"2017-08-11",2
"2017-08-12",2
"2017-08-13",1
"2017-08-14",2
"2017-08-15",2
"2017-08-16",2
"2017-08-17",2
"2017-08-18",2
"2017-08-19",1
"2017-08-20",2
"2017-08-21",2
"2017-08-22",2
"2017-08-23",2
"2017-08-24",2
"2017-08-25",1
"2017-08-26",1
"2017-08-27",2
"2017-08-28",1
"2017-08-29",2
"2017-08-30",2
"2017-08-31",1
"2017-09-01",1
"2017-09-02",1
"2017-09-03",2
"2017-09-04",2
"2017-09-05",2
"2017-09-06",2
"2017-09-07",2
"2017-09-08",2
"2017-09-09",2
"2017-09-10",3
"2017-09-11",3
"2017-09-12",3
"2017-09-13",4
"2017-09-14",4
"2017-09-15",4
"2017-09-16",2
"2017-09-17",2
"2017-09-18",3
"2017-09-19",3
"2017-09-20",3
"2017-09-21",3
"2017-09-22",4
"2017-09-23",3
"2017-09-24",4
"2017-09-25",5
"2017-09-26",5
"2017-09-27",7
"2017-09-28",6
"2017-09-29",6
"2017-09-30",4
"2017-10-01",4
"2017-10-02",3
"2017-10-03",4
"2017-10-04",3
"2017-10-05",3
"2017-10-06",3
"2017-10-07",3
"2017-10-08",4
"2017-10-09",4
"2017-10-10",5
"2017-10-11",4
"2017-10-12",4
"2017-10-13",4
"2017-10-14",4
"2017-10-15",4
"2017-10-16",4
"2017-10-17",4
"2017-10-18",3
"2017-10-19",4
"2017-10-20",3
"2017-10-21",3
"2017-10-22",4
"2017-10-23",4
"2017-10-24",4
"2017-10-25",5
"2017-10-26",5
"2017-10-27",3
"2017-10-28",3
"2017-10-29",4
"2017-10-30",4
"2017-10-31",3
"2017-11-01",4
"2017-11-02",4
"2017-11-03",4
"2017-11-04",3
"2017-11-05",6
"2017-11-06",5
"2017-11-07",5
"2017-11-08",5
"2017-11-09",5
"2017-11-10",4
"2017-11-11",5
"2017-11-12",7
"2017-11-13",6
"2017-11-14",5
"2017-11-15",4
"2017-11-16",4
"2017-11-17",4
"2017-11-18",3
"2017-11-19",5
"2017-11-20",5
"2017-11-21",5
"2017-11-22",5
"2017-11-23",4
"2017-11-24",3
"2017-11-25",4
"2017-11-26",5
"2017-11-27",4
"2017-11-28",4
"2017-11-29",5
"2017-11-30",4
"2017-12-01",3
"2017-12-02",3
"2017-12-03",5
"2017-12-04",5
"2017-12-05",5
"2017-12-06",4
"2017-12-07",4
"2017-12-08",3
"2017-12-09",3
"2017-12-10",4
"2017-12-11",4
"2017-12-12",4
"2017-12-13",4
"2017-12-14",4
"2017-12-15",3
"2017-12-16",3
"2017-12-17",5
"2017-12-18",5
"2017-12-19",4
"2017-12-20",4
"2017-12-21",4
"2017-12-22",4
"2017-12-23",5
"2017-12-24",6
"2017-12-25",7
"2017-12-26",5
"2017-12-27",5
"2017-12-28",5
"2017-12-29",5
"2017-12-30",12
"2017-12-31",11
"2018-01-01",10
"2018-01-02",7
"2018-01-03",7
"2018-01-04",7
"2018-01-05",7
"2018-01-06",7
"2018-01-07",10
"2018-01-08",8
"2018-01-09",8
"2018-01-10",6
"2018-01-11",7
"2018-01-12",5
"2018-01-13",6
"2018-01-14",8
"2018-01-15",9
"2018-01-16",15
"2018-01-17",20
"2018-01-18",22
"2018-01-19",16
"2018-01-20",18
"2018-01-21",23
"2018-01-22",20
"2018-01-23",15
"2018-01-24",12
"2018-01-25",10
"2018-01-26",7
"2018-01-27",8
"2018-01-28",14
"2018-01-29",11
"2018-01-30",9
"2018-01-31",9
"2018-02-01",8
"2018-02-02",9
"2018-02-03",9
"2018-02-04",8
"2018-02-05",8
"2018-02-06",8
"2018-02-07",7
"2018-02-08",9
"2018-02-09",9
"2018-02-10",9
"2018-02-11",9
"2018-02-12",8
"2018-02-13",8
"2018-02-14",6
"2018-02-15",7
"2018-02-16",6
"2018-02-17",7
"2018-02-18",9
"2018-02-19",9
"2018-02-20",9
"2018-02-21",8
"2018-02-22",8
"2018-02-23",7
"2018-02-24",8
"2018-02-25",9
"2018-02-26",11
"2018-02-27",12
"2018-02-28",11
"2018-03-01",11
"2018-03-02",11
"2018-03-03",12
"2018-03-04",18
"2018-03-05",11
"2018-03-06",10
"2018-03-07",9
"2018-03-08",9
"2018-03-09",8
"2018-03-10",8
"2018-03-11",12
"2018-03-12",15
"2018-03-13",16
"2018-03-14",10
"2018-03-15",10
"2018-03-16",10
"2018-03-17",9
"2018-03-18",12
"2018-03-19",11
"2018-03-20",11
"2018-03-21",18
"2018-03-22",15
"2018-03-23",12
"2018-03-24",23
"2018-03-25",61
"2018-03-26",100
"2018-03-27",85
"2018-03-28",69
"2018-03-29",67
"2018-03-30",48
"2018-03-31",44
"2018-04-01",44
"2018-04-02",40
"2018-04-03",34
"2018-04-04",27
"2018-04-05",27
"2018-04-06",33
"2018-04-07",28
"2018-04-08",29
"2018-04-09",29
"2018-04-10",29
"2018-04-11",31
"2018-04-12",26
"2018-04-13",23
"2018-04-14",24
"2018-04-15",39
"2018-04-16",31
"2018-04-17",31
"2018-04-18",29
"2018-04-19",27
