네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스투키"
"2017-08-01",30
"2017-08-02",28
"2017-08-03",28
"2017-08-04",24
"2017-08-05",19
"2017-08-06",25
"2017-08-07",30
"2017-08-08",27
"2017-08-09",29
"2017-08-10",22
"2017-08-11",25
"2017-08-12",18
"2017-08-13",36
"2017-08-14",38
"2017-08-15",40
"2017-08-16",29
"2017-08-17",34
"2017-08-18",26
"2017-08-19",24
"2017-08-20",29
"2017-08-21",29
"2017-08-22",35
"2017-08-23",28
"2017-08-24",25
"2017-08-25",30
"2017-08-26",25
"2017-08-27",32
"2017-08-28",29
"2017-08-29",43
"2017-08-30",42
"2017-08-31",33
"2017-09-01",27
"2017-09-02",30
"2017-09-03",33
"2017-09-04",41
"2017-09-05",31
"2017-09-06",29
"2017-09-07",30
"2017-09-08",26
"2017-09-09",26
"2017-09-10",31
"2017-09-11",36
"2017-09-12",33
"2017-09-13",30
"2017-09-14",29
"2017-09-15",25
"2017-09-16",24
"2017-09-17",30
"2017-09-18",33
"2017-09-19",30
"2017-09-20",29
"2017-09-21",25
"2017-09-22",29
"2017-09-23",27
"2017-09-24",26
"2017-09-25",35
"2017-09-26",32
"2017-09-27",28
"2017-09-28",23
"2017-09-29",19
"2017-09-30",19
"2017-10-01",19
"2017-10-02",18
"2017-10-03",13
"2017-10-04",16
"2017-10-05",15
"2017-10-06",20
"2017-10-07",23
"2017-10-08",37
"2017-10-09",39
"2017-10-10",32
"2017-10-11",25
"2017-10-12",33
"2017-10-13",26
"2017-10-14",26
"2017-10-15",26
"2017-10-16",26
"2017-10-17",32
"2017-10-18",28
"2017-10-19",24
"2017-10-20",30
"2017-10-21",26
"2017-10-22",30
"2017-10-23",29
"2017-10-24",29
"2017-10-25",35
"2017-10-26",29
"2017-10-27",25
"2017-10-28",29
"2017-10-29",33
"2017-10-30",37
"2017-10-31",34
"2017-11-01",32
"2017-11-02",35
"2017-11-03",28
"2017-11-04",31
"2017-11-05",37
"2017-11-06",36
"2017-11-07",32
"2017-11-08",37
"2017-11-09",32
"2017-11-10",29
"2017-11-11",30
"2017-11-12",38
"2017-11-13",38
"2017-11-14",31
"2017-11-15",60
"2017-11-16",40
"2017-11-17",34
"2017-11-18",33
"2017-11-19",37
"2017-11-20",38
"2017-11-21",39
"2017-11-22",36
"2017-11-23",30
"2017-11-24",31
"2017-11-25",36
"2017-11-26",39
"2017-11-27",52
"2017-11-28",44
"2017-11-29",36
"2017-11-30",34
"2017-12-01",32
"2017-12-02",37
"2017-12-03",41
"2017-12-04",41
"2017-12-05",37
"2017-12-06",38
"2017-12-07",35
"2017-12-08",33
"2017-12-09",30
"2017-12-10",36
"2017-12-11",33
"2017-12-12",36
"2017-12-13",30
"2017-12-14",31
"2017-12-15",30
"2017-12-16",32
"2017-12-17",32
"2017-12-18",36
"2017-12-19",33
"2017-12-20",27
"2017-12-21",22
"2017-12-22",29
"2017-12-23",27
"2017-12-24",27
"2017-12-25",31
"2017-12-26",36
"2017-12-27",34
"2017-12-28",36
"2017-12-29",27
"2017-12-30",31
"2017-12-31",26
"2018-01-01",34
"2018-01-02",40
"2018-01-03",41
"2018-01-04",36
"2018-01-05",31
"2018-01-06",36
"2018-01-07",43
"2018-01-08",45
"2018-01-09",38
"2018-01-10",34
"2018-01-11",34
"2018-01-12",28
"2018-01-13",25
"2018-01-14",44
"2018-01-15",43
"2018-01-16",41
"2018-01-17",34
"2018-01-18",37
"2018-01-19",48
"2018-01-20",51
"2018-01-21",61
"2018-01-22",55
"2018-01-23",46
"2018-01-24",42
"2018-01-25",42
"2018-01-26",36
"2018-01-27",41
"2018-01-28",48
"2018-01-29",44
"2018-01-30",50
"2018-01-31",42
"2018-02-01",40
"2018-02-02",35
"2018-02-03",40
"2018-02-04",50
"2018-02-05",39
"2018-02-06",42
"2018-02-07",35
"2018-02-08",35
"2018-02-09",31
"2018-02-10",29
"2018-02-11",35
"2018-02-12",30
"2018-02-13",31
"2018-02-14",31
"2018-02-15",28
"2018-02-16",24
"2018-02-17",35
"2018-02-18",41
"2018-02-19",41
"2018-02-20",37
"2018-02-21",34
"2018-02-22",38
"2018-02-23",35
"2018-02-24",41
"2018-02-25",44
"2018-02-26",52
"2018-02-27",100
"2018-02-28",46
"2018-03-01",55
"2018-03-02",44
"2018-03-03",43
"2018-03-04",59
"2018-03-05",45
"2018-03-06",44
"2018-03-07",56
"2018-03-08",40
"2018-03-09",40
"2018-03-10",46
"2018-03-11",57
"2018-03-12",68
"2018-03-13",51
"2018-03-14",55
"2018-03-15",52
"2018-03-16",40
"2018-03-17",45
"2018-03-18",51
"2018-03-19",51
"2018-03-20",46
"2018-03-21",40
"2018-03-22",42
"2018-03-23",37
"2018-03-24",46
"2018-03-25",65
"2018-03-26",76
"2018-03-27",78
"2018-03-28",68
"2018-03-29",66
"2018-03-30",52
"2018-03-31",49
"2018-04-01",68
"2018-04-02",62
"2018-04-03",62
"2018-04-04",67
"2018-04-05",56
"2018-04-06",48
"2018-04-07",50
"2018-04-08",64
"2018-04-09",56
"2018-04-10",58
"2018-04-11",56
"2018-04-12",57
"2018-04-13",49
"2018-04-14",44
"2018-04-15",67
"2018-04-16",58
"2018-04-17",58
"2018-04-18",53
"2018-04-19",53
