네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","강아지계단"
"2017-08-01",39
"2017-08-02",43
"2017-08-03",41
"2017-08-04",40
"2017-08-05",35
"2017-08-06",42
"2017-08-07",47
"2017-08-08",37
"2017-08-09",42
"2017-08-10",43
"2017-08-11",40
"2017-08-12",38
"2017-08-13",45
"2017-08-14",57
"2017-08-15",61
"2017-08-16",52
"2017-08-17",49
"2017-08-18",40
"2017-08-19",41
"2017-08-20",47
"2017-08-21",56
"2017-08-22",38
"2017-08-23",40
"2017-08-24",41
"2017-08-25",45
"2017-08-26",39
"2017-08-27",55
"2017-08-28",47
"2017-08-29",58
"2017-08-30",45
"2017-08-31",45
"2017-09-01",45
"2017-09-02",45
"2017-09-03",59
"2017-09-04",65
"2017-09-05",56
"2017-09-06",51
"2017-09-07",46
"2017-09-08",46
"2017-09-09",41
"2017-09-10",52
"2017-09-11",56
"2017-09-12",47
"2017-09-13",46
"2017-09-14",47
"2017-09-15",44
"2017-09-16",51
"2017-09-17",61
"2017-09-18",64
"2017-09-19",52
"2017-09-20",52
"2017-09-21",52
"2017-09-22",48
"2017-09-23",39
"2017-09-24",55
"2017-09-25",80
"2017-09-26",60
"2017-09-27",54
"2017-09-28",44
"2017-09-29",40
"2017-09-30",34
"2017-10-01",49
"2017-10-02",43
"2017-10-03",47
"2017-10-04",43
"2017-10-05",60
"2017-10-06",63
"2017-10-07",65
"2017-10-08",69
"2017-10-09",71
"2017-10-10",75
"2017-10-11",68
"2017-10-12",67
"2017-10-13",50
"2017-10-14",59
"2017-10-15",76
"2017-10-16",69
"2017-10-17",76
"2017-10-18",67
"2017-10-19",70
"2017-10-20",61
"2017-10-21",57
"2017-10-22",63
"2017-10-23",75
"2017-10-24",71
"2017-10-25",67
"2017-10-26",56
"2017-10-27",59
"2017-10-28",52
"2017-10-29",61
"2017-10-30",72
"2017-10-31",67
"2017-11-01",67
"2017-11-02",75
"2017-11-03",56
"2017-11-04",64
"2017-11-05",61
"2017-11-06",68
"2017-11-07",67
"2017-11-08",72
"2017-11-09",62
"2017-11-10",58
"2017-11-11",52
"2017-11-12",63
"2017-11-13",59
"2017-11-14",71
"2017-11-15",66
"2017-11-16",69
"2017-11-17",53
"2017-11-18",54
"2017-11-19",67
"2017-11-20",61
"2017-11-21",66
"2017-11-22",59
"2017-11-23",45
"2017-11-24",52
"2017-11-25",44
"2017-11-26",59
"2017-11-27",66
"2017-11-28",61
"2017-11-29",57
"2017-11-30",52
"2017-12-01",45
"2017-12-02",56
"2017-12-03",61
"2017-12-04",57
"2017-12-05",60
"2017-12-06",59
"2017-12-07",52
"2017-12-08",46
"2017-12-09",45
"2017-12-10",55
"2017-12-11",63
"2017-12-12",54
"2017-12-13",58
"2017-12-14",50
"2017-12-15",43
"2017-12-16",55
"2017-12-17",53
"2017-12-18",66
"2017-12-19",54
"2017-12-20",60
"2017-12-21",49
"2017-12-22",54
"2017-12-23",48
"2017-12-24",40
"2017-12-25",58
"2017-12-26",71
"2017-12-27",67
"2017-12-28",50
"2017-12-29",46
"2017-12-30",45
"2017-12-31",60
"2018-01-01",79
"2018-01-02",69
"2018-01-03",78
"2018-01-04",83
"2018-01-05",61
"2018-01-06",75
"2018-01-07",89
"2018-01-08",88
"2018-01-09",71
"2018-01-10",64
"2018-01-11",66
"2018-01-12",66
"2018-01-13",72
"2018-01-14",91
"2018-01-15",80
"2018-01-16",70
"2018-01-17",79
"2018-01-18",77
"2018-01-19",55
"2018-01-20",79
"2018-01-21",76
"2018-01-22",82
"2018-01-23",67
"2018-01-24",76
"2018-01-25",66
"2018-01-26",63
"2018-01-27",67
"2018-01-28",75
"2018-01-29",91
"2018-01-30",81
"2018-01-31",77
"2018-02-01",75
"2018-02-02",64
"2018-02-03",66
"2018-02-04",85
"2018-02-05",82
"2018-02-06",85
"2018-02-07",80
"2018-02-08",74
"2018-02-09",67
"2018-02-10",65
"2018-02-11",89
"2018-02-12",70
"2018-02-13",59
"2018-02-14",54
"2018-02-15",52
"2018-02-16",63
"2018-02-17",99
"2018-02-18",87
"2018-02-19",98
"2018-02-20",81
"2018-02-21",80
"2018-02-22",80
"2018-02-23",62
"2018-02-24",57
"2018-02-25",67
"2018-02-26",74
"2018-02-27",84
"2018-02-28",71
"2018-03-01",83
"2018-03-02",67
"2018-03-03",83
"2018-03-04",100
"2018-03-05",80
"2018-03-06",72
"2018-03-07",77
"2018-03-08",64
"2018-03-09",71
"2018-03-10",66
"2018-03-11",67
"2018-03-12",61
"2018-03-13",69
"2018-03-14",57
"2018-03-15",64
"2018-03-16",58
"2018-03-17",59
"2018-03-18",72
"2018-03-19",83
"2018-03-20",65
"2018-03-21",69
"2018-03-22",62
"2018-03-23",60
"2018-03-24",56
"2018-03-25",74
"2018-03-26",71
"2018-03-27",77
"2018-03-28",64
"2018-03-29",61
"2018-03-30",58
"2018-03-31",52
"2018-04-01",70
"2018-04-02",60
"2018-04-03",55
"2018-04-04",56
"2018-04-05",56
"2018-04-06",59
"2018-04-07",63
"2018-04-08",81
"2018-04-09",78
"2018-04-10",66
"2018-04-11",69
"2018-04-12",70
"2018-04-13",59
"2018-04-14",64
"2018-04-15",66
"2018-04-16",78
"2018-04-17",65
"2018-04-18",60
"2018-04-19",65
