네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","디스커버리롱패딩"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",2
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",2
"2017-08-28",1
"2017-08-29",2
"2017-08-30",2
"2017-08-31",1
"2017-09-01",2
"2017-09-02",2
"2017-09-03",1
"2017-09-04",1
"2017-09-05",1
"2017-09-06",1
"2017-09-07",1
"2017-09-08",1
"2017-09-09",1
"2017-09-10",1
"2017-09-11",1
"2017-09-12",1
"2017-09-13",1
"2017-09-14",1
"2017-09-15",1
"2017-09-16",1
"2017-09-17",2
"2017-09-18",1
"2017-09-19",1
"2017-09-20",1
"2017-09-21",1
"2017-09-22",1
"2017-09-23",1
"2017-09-24",1
"2017-09-25",1
"2017-09-26",1
"2017-09-27",1
"2017-09-28",1
"2017-09-29",1
"2017-09-30",1
"2017-10-01",3
"2017-10-02",2
"2017-10-03",2
"2017-10-04",2
"2017-10-05",3
"2017-10-06",3
"2017-10-07",3
"2017-10-08",3
"2017-10-09",4
"2017-10-10",2
"2017-10-11",3
"2017-10-12",4
"2017-10-13",5
"2017-10-14",5
"2017-10-15",5
"2017-10-16",5
"2017-10-17",5
"2017-10-18",6
"2017-10-19",5
"2017-10-20",3
"2017-10-21",3
"2017-10-22",5
"2017-10-23",5
"2017-10-24",5
"2017-10-25",5
"2017-10-26",6
"2017-10-27",5
"2017-10-28",5
"2017-10-29",10
"2017-10-30",18
"2017-10-31",16
"2017-11-01",12
"2017-11-02",13
"2017-11-03",11
"2017-11-04",16
"2017-11-05",22
"2017-11-06",19
"2017-11-07",14
"2017-11-08",13
"2017-11-09",14
"2017-11-10",9
"2017-11-11",15
"2017-11-12",22
"2017-11-13",26
"2017-11-14",27
"2017-11-15",44
"2017-11-16",64
"2017-11-17",64
"2017-11-18",72
"2017-11-19",94
"2017-11-20",100
"2017-11-21",76
"2017-11-22",61
"2017-11-23",57
"2017-11-24",48
"2017-11-25",42
"2017-11-26",44
"2017-11-27",40
"2017-11-28",29
"2017-11-29",28
"2017-11-30",32
"2017-12-01",34
"2017-12-02",35
"2017-12-03",41
"2017-12-04",40
"2017-12-05",47
"2017-12-06",37
"2017-12-07",30
"2017-12-08",28
"2017-12-09",29
"2017-12-10",34
"2017-12-11",41
"2017-12-12",42
"2017-12-13",42
"2017-12-14",33
"2017-12-15",23
"2017-12-16",24
"2017-12-17",31
"2017-12-18",26
"2017-12-19",21
"2017-12-20",18
"2017-12-21",14
"2017-12-22",10
"2017-12-23",12
"2017-12-24",12
"2017-12-25",14
"2017-12-26",13
"2017-12-27",12
"2017-12-28",11
"2017-12-29",9
"2017-12-30",8
"2017-12-31",9
"2018-01-01",9
"2018-01-02",9
"2018-01-03",8
"2018-01-04",9
"2018-01-05",7
"2018-01-06",8
"2018-01-07",10
"2018-01-08",8
"2018-01-09",10
"2018-01-10",12
"2018-01-11",15
"2018-01-12",13
"2018-01-13",12
"2018-01-14",11
"2018-01-15",7
"2018-01-16",6
"2018-01-17",5
"2018-01-18",4
"2018-01-19",3
"2018-01-20",4
"2018-01-21",5
"2018-01-22",5
"2018-01-23",8
"2018-01-24",11
"2018-01-25",11
"2018-01-26",12
"2018-01-27",11
"2018-01-28",11
"2018-01-29",10
"2018-01-30",10
"2018-01-31",7
"2018-02-01",6
"2018-02-02",5
"2018-02-03",8
"2018-02-04",12
"2018-02-05",11
"2018-02-06",9
"2018-02-07",7
"2018-02-08",6
"2018-02-09",4
"2018-02-10",5
"2018-02-11",6
"2018-02-12",5
"2018-02-13",3
"2018-02-14",3
"2018-02-15",3
"2018-02-16",3
"2018-02-17",4
"2018-02-18",5
"2018-02-19",3
"2018-02-20",2
"2018-02-21",2
"2018-02-22",2
"2018-02-23",1
"2018-02-24",1
"2018-02-25",2
"2018-02-26",1
"2018-02-27",1
"2018-02-28",1
"2018-03-01",2
"2018-03-02",1
"2018-03-03",1
"2018-03-04",1
"2018-03-05",1
"2018-03-06",1
"2018-03-07",
"2018-03-08",1
"2018-03-09",
"2018-03-10",
"2018-03-11",1
"2018-03-12",
"2018-03-13",
"2018-03-14",
"2018-03-15",
"2018-03-16",
"2018-03-17",
"2018-03-18",
"2018-03-19",
"2018-03-20",
"2018-03-21",
"2018-03-22",
"2018-03-23",
"2018-03-24",
"2018-03-25",
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
