네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","남자경량패딩"
"2017-08-01",
"2017-08-02",
"2017-08-03",1
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",2
"2017-08-15",2
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",2
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",1
"2017-08-28",3
"2017-08-29",1
"2017-08-30",1
"2017-08-31",2
"2017-09-01",2
"2017-09-02",3
"2017-09-03",2
"2017-09-04",2
"2017-09-05",1
"2017-09-06",2
"2017-09-07",2
"2017-09-08",2
"2017-09-09",2
"2017-09-10",3
"2017-09-11",3
"2017-09-12",2
"2017-09-13",2
"2017-09-14",2
"2017-09-15",2
"2017-09-16",3
"2017-09-17",4
"2017-09-18",3
"2017-09-19",2
"2017-09-20",3
"2017-09-21",3
"2017-09-22",3
"2017-09-23",4
"2017-09-24",4
"2017-09-25",5
"2017-09-26",5
"2017-09-27",4
"2017-09-28",3
"2017-09-29",5
"2017-09-30",5
"2017-10-01",8
"2017-10-02",8
"2017-10-03",7
"2017-10-04",8
"2017-10-05",9
"2017-10-06",14
"2017-10-07",13
"2017-10-08",12
"2017-10-09",10
"2017-10-10",9
"2017-10-11",15
"2017-10-12",32
"2017-10-13",32
"2017-10-14",32
"2017-10-15",41
"2017-10-16",40
"2017-10-17",31
"2017-10-18",33
"2017-10-19",26
"2017-10-20",22
"2017-10-21",21
"2017-10-22",32
"2017-10-23",35
"2017-10-24",36
"2017-10-25",36
"2017-10-26",35
"2017-10-27",23
"2017-10-28",26
"2017-10-29",52
"2017-10-30",75
"2017-10-31",72
"2017-11-01",64
"2017-11-02",59
"2017-11-03",53
"2017-11-04",69
"2017-11-05",100
"2017-11-06",82
"2017-11-07",65
"2017-11-08",65
"2017-11-09",62
"2017-11-10",53
"2017-11-11",65
"2017-11-12",97
"2017-11-13",86
"2017-11-14",74
"2017-11-15",76
"2017-11-16",75
"2017-11-17",56
"2017-11-18",67
"2017-11-19",73
"2017-11-20",65
"2017-11-21",56
"2017-11-22",51
"2017-11-23",50
"2017-11-24",42
"2017-11-25",40
"2017-11-26",47
"2017-11-27",40
"2017-11-28",44
"2017-11-29",42
"2017-11-30",34
"2017-12-01",29
"2017-12-02",34
"2017-12-03",42
"2017-12-04",43
"2017-12-05",39
"2017-12-06",29
"2017-12-07",29
"2017-12-08",22
"2017-12-09",22
"2017-12-10",37
"2017-12-11",32
"2017-12-12",29
"2017-12-13",30
"2017-12-14",25
"2017-12-15",19
"2017-12-16",20
"2017-12-17",26
"2017-12-18",25
"2017-12-19",22
"2017-12-20",15
"2017-12-21",7
"2017-12-22",6
"2017-12-23",6
"2017-12-24",5
"2017-12-25",6
"2017-12-26",5
"2017-12-27",5
"2017-12-28",6
"2017-12-29",3
"2017-12-30",5
"2017-12-31",4
"2018-01-01",6
"2018-01-02",7
"2018-01-03",6
"2018-01-04",4
"2018-01-05",4
"2018-01-06",4
"2018-01-07",6
"2018-01-08",5
"2018-01-09",3
"2018-01-10",5
"2018-01-11",3
"2018-01-12",2
"2018-01-13",3
"2018-01-14",4
"2018-01-15",4
"2018-01-16",4
"2018-01-17",3
"2018-01-18",3
"2018-01-19",3
"2018-01-20",4
"2018-01-21",5
"2018-01-22",5
"2018-01-23",3
"2018-01-24",3
"2018-01-25",1
"2018-01-26",3
"2018-01-27",3
"2018-01-28",4
"2018-01-29",3
"2018-01-30",3
"2018-01-31",3
"2018-02-01",3
"2018-02-02",2
"2018-02-03",3
"2018-02-04",4
"2018-02-05",3
"2018-02-06",3
"2018-02-07",2
"2018-02-08",3
"2018-02-09",2
"2018-02-10",3
"2018-02-11",3
"2018-02-12",3
"2018-02-13",2
"2018-02-14",2
"2018-02-15",2
"2018-02-16",4
"2018-02-17",3
"2018-02-18",4
"2018-02-19",5
"2018-02-20",5
"2018-02-21",4
"2018-02-22",4
"2018-02-23",3
"2018-02-24",6
"2018-02-25",11
"2018-02-26",9
"2018-02-27",8
"2018-02-28",7
"2018-03-01",7
"2018-03-02",6
"2018-03-03",6
"2018-03-04",8
"2018-03-05",8
"2018-03-06",5
"2018-03-07",5
"2018-03-08",6
"2018-03-09",5
"2018-03-10",5
"2018-03-11",6
"2018-03-12",4
"2018-03-13",4
"2018-03-14",3
"2018-03-15",1
"2018-03-16",2
"2018-03-17",3
"2018-03-18",4
"2018-03-19",3
"2018-03-20",3
"2018-03-21",2
"2018-03-22",2
"2018-03-23",2
"2018-03-24",2
"2018-03-25",3
"2018-03-26",2
"2018-03-27",1
"2018-03-28",1
"2018-03-29",1
"2018-03-30",
"2018-03-31",1
"2018-04-01",1
"2018-04-02",1
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",1
"2018-04-07",1
"2018-04-08",2
"2018-04-09",1
"2018-04-10",1
"2018-04-11",
"2018-04-12",
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",
"2018-04-18",
"2018-04-19",
