네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","모노키니"
"2017-08-01",94
"2017-08-02",90
"2017-08-03",82
"2017-08-04",67
"2017-08-05",69
"2017-08-06",93
"2017-08-07",100
"2017-08-08",92
"2017-08-09",82
"2017-08-10",68
"2017-08-11",62
"2017-08-12",68
"2017-08-13",69
"2017-08-14",59
"2017-08-15",68
"2017-08-16",60
"2017-08-17",61
"2017-08-18",51
"2017-08-19",41
"2017-08-20",47
"2017-08-21",61
"2017-08-22",52
"2017-08-23",55
"2017-08-24",50
"2017-08-25",34
"2017-08-26",34
"2017-08-27",42
"2017-08-28",40
"2017-08-29",42
"2017-08-30",34
"2017-08-31",34
"2017-09-01",24
"2017-09-02",24
"2017-09-03",30
"2017-09-04",35
"2017-09-05",34
"2017-09-06",33
"2017-09-07",27
"2017-09-08",26
"2017-09-09",26
"2017-09-10",30
"2017-09-11",33
"2017-09-12",38
"2017-09-13",31
"2017-09-14",33
"2017-09-15",29
"2017-09-16",23
"2017-09-17",31
"2017-09-18",35
"2017-09-19",33
"2017-09-20",28
"2017-09-21",28
"2017-09-22",25
"2017-09-23",22
"2017-09-24",25
"2017-09-25",30
"2017-09-26",24
"2017-09-27",21
"2017-09-28",15
"2017-09-29",14
"2017-09-30",11
"2017-10-01",16
"2017-10-02",15
"2017-10-03",17
"2017-10-04",17
"2017-10-05",18
"2017-10-06",19
"2017-10-07",22
"2017-10-08",25
"2017-10-09",34
"2017-10-10",28
"2017-10-11",29
"2017-10-12",24
"2017-10-13",25
"2017-10-14",17
"2017-10-15",21
"2017-10-16",25
"2017-10-17",21
"2017-10-18",24
"2017-10-19",20
"2017-10-20",20
"2017-10-21",19
"2017-10-22",24
"2017-10-23",24
"2017-10-24",22
"2017-10-25",24
"2017-10-26",25
"2017-10-27",20
"2017-10-28",19
"2017-10-29",24
"2017-10-30",29
"2017-10-31",26
"2017-11-01",23
"2017-11-02",24
"2017-11-03",21
"2017-11-04",26
"2017-11-05",25
"2017-11-06",27
"2017-11-07",30
"2017-11-08",32
"2017-11-09",25
"2017-11-10",21
"2017-11-11",26
"2017-11-12",28
"2017-11-13",30
"2017-11-14",34
"2017-11-15",24
"2017-11-16",28
"2017-11-17",18
"2017-11-18",20
"2017-11-19",31
"2017-11-20",26
"2017-11-21",29
"2017-11-22",24
"2017-11-23",25
"2017-11-24",23
"2017-11-25",22
"2017-11-26",22
"2017-11-27",30
"2017-11-28",22
"2017-11-29",25
"2017-11-30",22
"2017-12-01",30
"2017-12-02",25
"2017-12-03",26
"2017-12-04",30
"2017-12-05",29
"2017-12-06",30
"2017-12-07",29
"2017-12-08",25
"2017-12-09",26
"2017-12-10",31
"2017-12-11",34
"2017-12-12",28
"2017-12-13",26
"2017-12-14",30
"2017-12-15",24
"2017-12-16",25
"2017-12-17",38
"2017-12-18",31
"2017-12-19",29
"2017-12-20",23
"2017-12-21",24
"2017-12-22",16
"2017-12-23",20
"2017-12-24",21
"2017-12-25",25
"2017-12-26",26
"2017-12-27",26
"2017-12-28",27
"2017-12-29",27
"2017-12-30",28
"2017-12-31",28
"2018-01-01",27
"2018-01-02",31
"2018-01-03",36
"2018-01-04",36
"2018-01-05",27
"2018-01-06",38
"2018-01-07",44
"2018-01-08",43
"2018-01-09",40
"2018-01-10",42
"2018-01-11",38
"2018-01-12",36
"2018-01-13",35
"2018-01-14",56
"2018-01-15",63
"2018-01-16",59
"2018-01-17",53
"2018-01-18",40
"2018-01-19",39
"2018-01-20",39
"2018-01-21",43
"2018-01-22",46
"2018-01-23",49
"2018-01-24",43
"2018-01-25",42
"2018-01-26",40
"2018-01-27",37
"2018-01-28",42
"2018-01-29",52
"2018-01-30",48
"2018-01-31",45
"2018-02-01",42
"2018-02-02",37
"2018-02-03",37
"2018-02-04",49
"2018-02-05",55
"2018-02-06",44
"2018-02-07",44
"2018-02-08",51
"2018-02-09",34
"2018-02-10",37
"2018-02-11",45
"2018-02-12",41
"2018-02-13",34
"2018-02-14",27
"2018-02-15",35
"2018-02-16",45
"2018-02-17",46
"2018-02-18",50
"2018-02-19",53
"2018-02-20",54
"2018-02-21",46
"2018-02-22",42
"2018-02-23",37
"2018-02-24",41
"2018-02-25",44
"2018-02-26",51
"2018-02-27",46
"2018-02-28",44
"2018-03-01",55
"2018-03-02",48
"2018-03-03",43
"2018-03-04",54
"2018-03-05",54
"2018-03-06",50
"2018-03-07",56
"2018-03-08",51
"2018-03-09",48
"2018-03-10",45
"2018-03-11",61
"2018-03-12",55
"2018-03-13",56
"2018-03-14",50
"2018-03-15",47
"2018-03-16",42
"2018-03-17",41
"2018-03-18",58
"2018-03-19",56
"2018-03-20",51
"2018-03-21",53
"2018-03-22",53
"2018-03-23",36
"2018-03-24",42
"2018-03-25",61
"2018-03-26",58
"2018-03-27",54
"2018-03-28",46
"2018-03-29",49
"2018-03-30",43
"2018-03-31",39
"2018-04-01",56
"2018-04-02",60
"2018-04-03",59
"2018-04-04",64
"2018-04-05",55
"2018-04-06",58
"2018-04-07",47
"2018-04-08",73
"2018-04-09",67
"2018-04-10",69
"2018-04-11",76
"2018-04-12",68
"2018-04-13",58
"2018-04-14",57
"2018-04-15",78
"2018-04-16",92
"2018-04-17",89
"2018-04-18",86
"2018-04-19",77
