네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
스포츠/레저
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","폼롤러"
"2017-08-01",28
"2017-08-02",29
"2017-08-03",25
"2017-08-04",22
"2017-08-05",19
"2017-08-06",33
"2017-08-07",100
"2017-08-08",44
"2017-08-09",41
"2017-08-10",37
"2017-08-11",67
"2017-08-12",39
"2017-08-13",37
"2017-08-14",35
"2017-08-15",35
"2017-08-16",37
"2017-08-17",76
"2017-08-18",42
"2017-08-19",38
"2017-08-20",38
"2017-08-21",39
"2017-08-22",30
"2017-08-23",33
"2017-08-24",37
"2017-08-25",24
"2017-08-26",22
"2017-08-27",20
"2017-08-28",21
"2017-08-29",23
"2017-08-30",29
"2017-08-31",20
"2017-09-01",17
"2017-09-02",14
"2017-09-03",24
"2017-09-04",19
"2017-09-05",20
"2017-09-06",19
"2017-09-07",18
"2017-09-08",16
"2017-09-09",15
"2017-09-10",17
"2017-09-11",20
"2017-09-12",16
"2017-09-13",18
"2017-09-14",17
"2017-09-15",14
"2017-09-16",13
"2017-09-17",15
"2017-09-18",16
"2017-09-19",18
"2017-09-20",20
"2017-09-21",17
"2017-09-22",14
"2017-09-23",13
"2017-09-24",14
"2017-09-25",17
"2017-09-26",17
"2017-09-27",17
"2017-09-28",13
"2017-09-29",9
"2017-09-30",9
"2017-10-01",9
"2017-10-02",10
"2017-10-03",10
"2017-10-04",15
"2017-10-05",15
"2017-10-06",15
"2017-10-07",16
"2017-10-08",16
"2017-10-09",17
"2017-10-10",19
"2017-10-11",19
"2017-10-12",23
"2017-10-13",16
"2017-10-14",11
"2017-10-15",15
"2017-10-16",14
"2017-10-17",15
"2017-10-18",17
"2017-10-19",16
"2017-10-20",13
"2017-10-21",11
"2017-10-22",34
"2017-10-23",27
"2017-10-24",18
"2017-10-25",18
"2017-10-26",15
"2017-10-27",13
"2017-10-28",14
"2017-10-29",13
"2017-10-30",14
"2017-10-31",12
"2017-11-01",12
"2017-11-02",14
"2017-11-03",11
"2017-11-04",13
"2017-11-05",12
"2017-11-06",19
"2017-11-07",14
"2017-11-08",14
"2017-11-09",16
"2017-11-10",14
"2017-11-11",13
"2017-11-12",14
"2017-11-13",14
"2017-11-14",13
"2017-11-15",13
"2017-11-16",12
"2017-11-17",11
"2017-11-18",9
"2017-11-19",10
"2017-11-20",13
"2017-11-21",11
"2017-11-22",12
"2017-11-23",11
"2017-11-24",8
"2017-11-25",9
"2017-11-26",10
"2017-11-27",13
"2017-11-28",13
"2017-11-29",12
"2017-11-30",13
"2017-12-01",11
"2017-12-02",12
"2017-12-03",11
"2017-12-04",14
"2017-12-05",12
"2017-12-06",10
"2017-12-07",12
"2017-12-08",10
"2017-12-09",9
"2017-12-10",10
"2017-12-11",13
"2017-12-12",13
"2017-12-13",12
"2017-12-14",11
"2017-12-15",10
"2017-12-16",9
"2017-12-17",11
"2017-12-18",12
"2017-12-19",12
"2017-12-20",10
"2017-12-21",10
"2017-12-22",10
"2017-12-23",8
"2017-12-24",7
"2017-12-25",9
"2017-12-26",11
"2017-12-27",11
"2017-12-28",12
"2017-12-29",11
"2017-12-30",9
"2017-12-31",8
"2018-01-01",10
"2018-01-02",49
"2018-01-03",19
"2018-01-04",18
"2018-01-05",15
"2018-01-06",13
"2018-01-07",15
"2018-01-08",15
"2018-01-09",16
"2018-01-10",15
"2018-01-11",16
"2018-01-12",13
"2018-01-13",16
"2018-01-14",16
"2018-01-15",16
"2018-01-16",19
"2018-01-17",19
"2018-01-18",15
"2018-01-19",14
"2018-01-20",12
"2018-01-21",16
"2018-01-22",16
"2018-01-23",16
"2018-01-24",16
"2018-01-25",17
"2018-01-26",14
"2018-01-27",11
"2018-01-28",18
"2018-01-29",19
"2018-01-30",16
"2018-01-31",14
"2018-02-01",18
"2018-02-02",15
"2018-02-03",15
"2018-02-04",16
"2018-02-05",19
"2018-02-06",19
"2018-02-07",15
"2018-02-08",15
"2018-02-09",14
"2018-02-10",14
"2018-02-11",13
"2018-02-12",13
"2018-02-13",12
"2018-02-14",9
"2018-02-15",10
"2018-02-16",13
"2018-02-17",13
"2018-02-18",20
"2018-02-19",21
"2018-02-20",17
"2018-02-21",19
"2018-02-22",17
"2018-02-23",16
"2018-02-24",13
"2018-02-25",15
"2018-02-26",18
"2018-02-27",16
"2018-02-28",16
"2018-03-01",16
"2018-03-02",15
"2018-03-03",14
"2018-03-04",16
"2018-03-05",15
"2018-03-06",16
"2018-03-07",17
"2018-03-08",14
"2018-03-09",11
"2018-03-10",9
"2018-03-11",12
"2018-03-12",14
"2018-03-13",13
"2018-03-14",14
"2018-03-15",14
"2018-03-16",12
"2018-03-17",11
"2018-03-18",14
"2018-03-19",18
"2018-03-20",18
"2018-03-21",17
"2018-03-22",14
"2018-03-23",12
"2018-03-24",11
"2018-03-25",12
"2018-03-26",14
"2018-03-27",14
"2018-03-28",14
"2018-03-29",12
"2018-03-30",11
"2018-03-31",12
"2018-04-01",15
"2018-04-02",15
"2018-04-03",15
"2018-04-04",14
"2018-04-05",14
"2018-04-06",14
"2018-04-07",11
"2018-04-08",13
"2018-04-09",16
"2018-04-10",16
"2018-04-11",16
"2018-04-12",14
"2018-04-13",13
"2018-04-14",11
"2018-04-15",12
"2018-04-16",16
"2018-04-17",14
"2018-04-18",15
"2018-04-19",13
