네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","조르지오아르마니립마그넷"
"2017-08-01",49
"2017-08-02",37
"2017-08-03",51
"2017-08-04",35
"2017-08-05",33
"2017-08-06",49
"2017-08-07",32
"2017-08-08",40
"2017-08-09",34
"2017-08-10",32
"2017-08-11",37
"2017-08-12",22
"2017-08-13",34
"2017-08-14",30
"2017-08-15",35
"2017-08-16",30
"2017-08-17",29
"2017-08-18",25
"2017-08-19",28
"2017-08-20",32
"2017-08-21",32
"2017-08-22",35
"2017-08-23",26
"2017-08-24",27
"2017-08-25",20
"2017-08-26",19
"2017-08-27",28
"2017-08-28",16
"2017-08-29",23
"2017-08-30",20
"2017-08-31",23
"2017-09-01",23
"2017-09-02",20
"2017-09-03",23
"2017-09-04",22
"2017-09-05",18
"2017-09-06",20
"2017-09-07",19
"2017-09-08",17
"2017-09-09",18
"2017-09-10",21
"2017-09-11",24
"2017-09-12",18
"2017-09-13",14
"2017-09-14",19
"2017-09-15",13
"2017-09-16",18
"2017-09-17",15
"2017-09-18",21
"2017-09-19",16
"2017-09-20",16
"2017-09-21",18
"2017-09-22",11
"2017-09-23",13
"2017-09-24",16
"2017-09-25",23
"2017-09-26",31
"2017-09-27",26
"2017-09-28",19
"2017-09-29",18
"2017-09-30",18
"2017-10-01",22
"2017-10-02",24
"2017-10-03",22
"2017-10-04",18
"2017-10-05",26
"2017-10-06",31
"2017-10-07",28
"2017-10-08",40
"2017-10-09",32
"2017-10-10",31
"2017-10-11",24
"2017-10-12",18
"2017-10-13",19
"2017-10-14",19
"2017-10-15",21
"2017-10-16",19
"2017-10-17",17
"2017-10-18",18
"2017-10-19",22
"2017-10-20",18
"2017-10-21",17
"2017-10-22",23
"2017-10-23",20
"2017-10-24",22
"2017-10-25",32
"2017-10-26",22
"2017-10-27",35
"2017-10-28",30
"2017-10-29",33
"2017-10-30",36
"2017-10-31",36
"2017-11-01",65
"2017-11-02",67
"2017-11-03",78
"2017-11-04",80
"2017-11-05",100
"2017-11-06",72
"2017-11-07",59
"2017-11-08",66
"2017-11-09",50
"2017-11-10",48
"2017-11-11",38
"2017-11-12",62
"2017-11-13",43
"2017-11-14",35
"2017-11-15",26
"2017-11-16",23
"2017-11-17",31
"2017-11-18",25
"2017-11-19",29
"2017-11-20",33
"2017-11-21",25
"2017-11-22",30
"2017-11-23",24
"2017-11-24",23
"2017-11-25",26
"2017-11-26",30
"2017-11-27",29
"2017-11-28",26
"2017-11-29",28
"2017-11-30",21
"2017-12-01",26
"2017-12-02",31
"2017-12-03",42
"2017-12-04",29
"2017-12-05",30
"2017-12-06",26
"2017-12-07",25
"2017-12-08",22
"2017-12-09",26
"2017-12-10",35
"2017-12-11",32
"2017-12-12",34
"2017-12-13",22
"2017-12-14",22
"2017-12-15",20
"2017-12-16",20
"2017-12-17",23
"2017-12-18",25
"2017-12-19",22
"2017-12-20",25
"2017-12-21",18
"2017-12-22",17
"2017-12-23",20
"2017-12-24",21
"2017-12-25",21
"2017-12-26",22
"2017-12-27",21
"2017-12-28",20
"2017-12-29",24
"2017-12-30",15
"2017-12-31",18
"2018-01-01",23
"2018-01-02",29
"2018-01-03",28
"2018-01-04",23
"2018-01-05",26
"2018-01-06",23
"2018-01-07",31
"2018-01-08",29
"2018-01-09",31
"2018-01-10",30
"2018-01-11",28
"2018-01-12",35
"2018-01-13",25
"2018-01-14",33
"2018-01-15",28
"2018-01-16",37
"2018-01-17",42
"2018-01-18",36
"2018-01-19",35
"2018-01-20",28
"2018-01-21",37
"2018-01-22",29
"2018-01-23",32
"2018-01-24",34
"2018-01-25",31
"2018-01-26",31
"2018-01-27",41
"2018-01-28",46
"2018-01-29",42
"2018-01-30",52
"2018-01-31",40
"2018-02-01",47
"2018-02-02",43
"2018-02-03",29
"2018-02-04",33
"2018-02-05",53
"2018-02-06",42
"2018-02-07",43
"2018-02-08",39
"2018-02-09",36
"2018-02-10",50
"2018-02-11",53
"2018-02-12",43
"2018-02-13",35
"2018-02-14",29
"2018-02-15",33
"2018-02-16",44
"2018-02-17",38
"2018-02-18",46
"2018-02-19",52
"2018-02-20",47
"2018-02-21",32
"2018-02-22",38
"2018-02-23",32
"2018-02-24",44
"2018-02-25",43
"2018-02-26",40
"2018-02-27",45
"2018-02-28",39
"2018-03-01",70
"2018-03-02",82
"2018-03-03",50
"2018-03-04",55
"2018-03-05",53
"2018-03-06",47
"2018-03-07",51
"2018-03-08",51
"2018-03-09",44
"2018-03-10",51
"2018-03-11",55
"2018-03-12",54
"2018-03-13",40
"2018-03-14",33
"2018-03-15",29
"2018-03-16",26
"2018-03-17",28
"2018-03-18",28
"2018-03-19",27
"2018-03-20",18
"2018-03-21",25
"2018-03-22",27
"2018-03-23",21
"2018-03-24",22
"2018-03-25",34
"2018-03-26",21
"2018-03-27",27
"2018-03-28",30
"2018-03-29",26
"2018-03-30",25
"2018-03-31",28
"2018-04-01",45
"2018-04-02",30
"2018-04-03",38
"2018-04-04",27
"2018-04-05",41
"2018-04-06",37
"2018-04-07",41
"2018-04-08",51
"2018-04-09",42
"2018-04-10",34
"2018-04-11",31
"2018-04-12",32
"2018-04-13",25
"2018-04-14",33
"2018-04-15",37
"2018-04-16",39
"2018-04-17",52
"2018-04-18",43
"2018-04-19",45
