네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","히알루론산1%"
"2017-08-21",
"2017-09-04",57
"2017-09-05",100
"2017-09-06",37
"2017-09-07",69
"2017-09-08",27
"2017-09-09",67
"2017-09-10",32
"2017-09-11",26
"2017-09-12",24
"2017-09-13",16
"2017-09-14",12
"2017-09-15",10
"2017-09-16",20
"2017-09-17",20
"2017-09-18",18
"2017-09-19",13
"2017-09-20",18
"2017-09-21",21
"2017-09-22",13
"2017-09-23",9
"2017-09-24",7
"2017-09-25",7
"2017-09-26",8
"2017-09-27",5
"2017-09-28",3
"2017-09-29",3
"2017-09-30",4
"2017-10-01",4
"2017-10-02",3
"2017-10-03",3
"2017-10-04",3
"2017-10-05",4
"2017-10-06",3
"2017-10-07",3
"2017-10-08",3
"2017-10-09",5
"2017-10-10",5
"2017-10-11",6
"2017-10-12",5
"2017-10-13",7
"2017-10-14",20
"2017-10-15",11
"2017-10-16",12
"2017-10-17",11
"2017-10-18",11
"2017-10-19",11
"2017-10-20",8
"2017-10-21",5
"2017-10-22",5
"2017-10-23",10
"2017-10-24",16
"2017-10-25",10
"2017-10-26",8
"2017-10-27",6
"2017-10-28",4
"2017-10-29",9
"2017-10-30",11
"2017-10-31",6
"2017-11-01",7
"2017-11-02",6
"2017-11-03",5
"2017-11-04",5
"2017-11-05",5
"2017-11-06",5
"2017-11-07",6
"2017-11-08",5
"2017-11-09",4
"2017-11-10",3
"2017-11-11",3
"2017-11-12",3
"2017-11-13",4
"2017-11-14",4
"2017-11-15",7
"2017-11-16",6
"2017-11-17",4
"2017-11-18",3
"2017-11-19",5
"2017-11-20",5
"2017-11-21",5
"2017-11-22",4
"2017-11-23",5
"2017-11-24",4
"2017-11-25",3
"2017-11-26",4
"2017-11-27",3
"2017-11-28",3
"2017-11-29",4
"2017-11-30",3
"2017-12-01",3
"2017-12-02",2
"2017-12-03",3
"2017-12-04",3
"2017-12-05",4
"2017-12-06",3
"2017-12-07",5
"2017-12-08",4
"2017-12-09",3
"2017-12-10",4
"2017-12-11",3
"2017-12-12",3
"2017-12-13",3
"2017-12-14",2
"2017-12-15",2
"2017-12-16",2
"2017-12-17",2
"2017-12-18",2
"2017-12-19",2
"2017-12-20",2
"2017-12-21",2
"2017-12-22",2
"2017-12-23",2
"2017-12-24",1
"2017-12-25",1
"2017-12-26",2
"2017-12-27",2
"2017-12-28",3
"2017-12-29",2
"2017-12-30",2
"2017-12-31",2
"2018-01-01",2
"2018-01-02",5
"2018-01-03",3
"2018-01-04",2
"2018-01-05",2
"2018-01-06",3
"2018-01-07",3
"2018-01-08",3
"2018-01-09",3
"2018-01-10",2
"2018-01-11",2
"2018-01-12",2
"2018-01-13",1
"2018-01-14",2
"2018-01-15",2
"2018-01-16",2
"2018-01-17",2
"2018-01-18",2
"2018-01-19",2
"2018-01-20",2
"2018-01-21",1
"2018-01-22",2
"2018-01-23",2
"2018-01-24",2
"2018-01-25",2
"2018-01-26",1
"2018-01-27",3
"2018-01-28",5
"2018-01-29",3
"2018-01-30",3
"2018-01-31",2
"2018-02-01",2
"2018-02-02",2
"2018-02-03",2
"2018-02-04",2
"2018-02-05",2
"2018-02-06",2
"2018-02-07",2
"2018-02-08",2
"2018-02-09",1
"2018-02-10",1
"2018-02-11",1
"2018-02-12",1
"2018-02-13",1
"2018-02-14",1
"2018-02-15",1
"2018-02-16",1
"2018-02-17",2
"2018-02-18",1
"2018-02-19",2
"2018-02-20",2
"2018-02-21",1
"2018-02-22",1
"2018-02-23",1
"2018-02-24",1
"2018-02-25",2
"2018-02-26",1
"2018-02-27",1
"2018-02-28",1
"2018-03-01",1
"2018-03-02",1
"2018-03-03",1
"2018-03-04",1
"2018-03-05",1
"2018-03-06",1
"2018-03-07",1
"2018-03-08",1
"2018-03-09",1
"2018-03-10",1
"2018-03-11",1
"2018-03-12",1
"2018-03-13",1
"2018-03-14",1
"2018-03-15",1
"2018-03-16",
"2018-03-17",
"2018-03-18",1
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",3
"2018-03-27",1
"2018-03-28",1
"2018-03-29",1
"2018-03-30",1
"2018-03-31",1
"2018-04-01",1
"2018-04-02",1
"2018-04-03",1
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",1
"2018-04-09",1
"2018-04-10",1
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",1
"2018-04-18",1
"2018-04-19",1
