네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","견미리팩트시즌9"
"2017-09-01",
"2017-09-02",
"2017-09-03",
"2017-09-04",
"2017-09-05",
"2017-09-06",
"2017-09-07",
"2017-09-08",
"2017-10-20",
"2017-10-21",
"2017-10-22",
"2017-10-23",
"2017-10-24",
"2017-10-25",
"2017-10-26",
"2017-10-27",
"2017-10-28",
"2017-10-29",
"2017-10-30",
"2017-10-31",
"2017-11-01",
"2017-11-02",
"2017-11-03",1
"2017-11-04",1
"2017-11-05",3
"2017-11-06",7
"2017-11-07",8
"2017-11-08",26
"2017-11-09",30
"2017-11-10",27
"2017-11-11",30
"2017-11-12",69
"2017-11-13",54
"2017-11-14",62
"2017-11-15",42
"2017-11-16",40
"2017-11-17",36
"2017-11-18",28
"2017-11-19",60
"2017-11-20",55
"2017-11-21",78
"2017-11-22",63
"2017-11-23",57
"2017-11-24",40
"2017-11-25",34
"2017-11-26",71
"2017-11-27",64
"2017-11-28",60
"2017-11-29",49
"2017-11-30",57
"2017-12-01",57
"2017-12-02",71
"2017-12-03",85
"2017-12-04",72
"2017-12-05",86
"2017-12-06",68
"2017-12-07",97
"2017-12-08",53
"2017-12-09",47
"2017-12-10",100
"2017-12-11",87
"2017-12-12",81
"2017-12-13",98
"2017-12-14",76
"2017-12-15",71
"2017-12-16",45
"2017-12-17",73
"2017-12-18",86
"2017-12-19",98
"2017-12-20",87
"2017-12-21",97
"2017-12-22",61
"2017-12-23",41
"2017-12-24",40
"2017-12-25",50
"2017-12-26",89
"2017-12-27",69
"2017-12-28",77
"2017-12-29",59
"2017-12-30",43
"2017-12-31",40
"2018-01-01",62
"2018-01-02",59
"2018-01-03",64
"2018-01-04",60
"2018-01-05",46
"2018-01-06",38
"2018-01-07",72
"2018-01-08",57
"2018-01-09",74
"2018-01-10",61
"2018-01-11",64
"2018-01-12",40
"2018-01-13",36
"2018-01-14",71
"2018-01-15",57
"2018-01-16",65
"2018-01-17",52
"2018-01-18",41
"2018-01-19",45
"2018-01-20",38
"2018-01-21",58
"2018-01-22",49
"2018-01-23",69
"2018-01-24",51
"2018-01-25",53
"2018-01-26",41
"2018-01-27",37
"2018-01-28",57
"2018-01-29",49
"2018-01-30",45
"2018-01-31",54
"2018-02-01",62
"2018-02-02",67
"2018-02-03",54
"2018-02-04",75
"2018-02-05",77
"2018-02-06",83
"2018-02-07",71
"2018-02-08",93
"2018-02-09",55
"2018-02-10",49
"2018-02-11",93
"2018-02-12",73
"2018-02-13",38
"2018-02-14",29
"2018-02-15",33
"2018-02-16",35
"2018-02-17",51
"2018-02-18",77
"2018-02-19",81
"2018-02-20",79
"2018-02-21",71
"2018-02-22",75
"2018-02-23",56
"2018-02-24",50
"2018-02-25",67
"2018-02-26",66
"2018-02-27",73
"2018-02-28",64
"2018-03-01",84
"2018-03-02",62
"2018-03-03",66
"2018-03-04",66
"2018-03-05",72
"2018-03-06",61
"2018-03-07",69
"2018-03-08",69
"2018-03-09",53
"2018-03-10",42
"2018-03-11",79
"2018-03-12",63
"2018-03-13",55
"2018-03-14",83
"2018-03-15",54
"2018-03-16",46
"2018-03-17",44
"2018-03-18",66
"2018-03-19",64
"2018-03-20",53
"2018-03-21",50
"2018-03-22",57
"2018-03-23",41
"2018-03-24",36
"2018-03-25",40
"2018-03-26",43
"2018-03-27",42
"2018-03-28",29
"2018-03-29",20
"2018-03-30",11
"2018-03-31",6
"2018-04-01",6
"2018-04-02",7
"2018-04-03",8
"2018-04-04",6
"2018-04-05",5
"2018-04-06",5
"2018-04-07",4
"2018-04-08",4
"2018-04-09",6
"2018-04-10",6
"2018-04-11",6
"2018-04-12",6
"2018-04-13",5
"2018-04-14",4
"2018-04-15",5
"2018-04-16",7
"2018-04-17",6
"2018-04-18",6
"2018-04-19",5
