네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","실크테라피"
"2017-08-01",29
"2017-08-02",34
"2017-08-03",42
"2017-08-04",27
"2017-08-05",25
"2017-08-06",40
"2017-08-07",36
"2017-08-08",40
"2017-08-09",38
"2017-08-10",39
"2017-08-11",26
"2017-08-12",34
"2017-08-13",46
"2017-08-14",40
"2017-08-15",59
"2017-08-16",45
"2017-08-17",42
"2017-08-18",40
"2017-08-19",33
"2017-08-20",32
"2017-08-21",41
"2017-08-22",40
"2017-08-23",36
"2017-08-24",33
"2017-08-25",28
"2017-08-26",27
"2017-08-27",34
"2017-08-28",37
"2017-08-29",34
"2017-08-30",48
"2017-08-31",32
"2017-09-01",32
"2017-09-02",25
"2017-09-03",34
"2017-09-04",36
"2017-09-05",33
"2017-09-06",29
"2017-09-07",35
"2017-09-08",27
"2017-09-09",41
"2017-09-10",28
"2017-09-11",35
"2017-09-12",47
"2017-09-13",28
"2017-09-14",28
"2017-09-15",22
"2017-09-16",18
"2017-09-17",23
"2017-09-18",33
"2017-09-19",33
"2017-09-20",26
"2017-09-21",23
"2017-09-22",35
"2017-09-23",19
"2017-09-24",18
"2017-09-25",42
"2017-09-26",43
"2017-09-27",50
"2017-09-28",52
"2017-09-29",22
"2017-09-30",21
"2017-10-01",35
"2017-10-02",28
"2017-10-03",24
"2017-10-04",23
"2017-10-05",26
"2017-10-06",25
"2017-10-07",30
"2017-10-08",36
"2017-10-09",51
"2017-10-10",49
"2017-10-11",45
"2017-10-12",32
"2017-10-13",29
"2017-10-14",33
"2017-10-15",34
"2017-10-16",41
"2017-10-17",36
"2017-10-18",49
"2017-10-19",33
"2017-10-20",35
"2017-10-21",28
"2017-10-22",32
"2017-10-23",41
"2017-10-24",37
"2017-10-25",39
"2017-10-26",31
"2017-10-27",32
"2017-10-28",29
"2017-10-29",34
"2017-10-30",50
"2017-10-31",44
"2017-11-01",51
"2017-11-02",37
"2017-11-03",25
"2017-11-04",28
"2017-11-05",36
"2017-11-06",41
"2017-11-07",37
"2017-11-08",32
"2017-11-09",26
"2017-11-10",49
"2017-11-11",28
"2017-11-12",59
"2017-11-13",46
"2017-11-14",40
"2017-11-15",31
"2017-11-16",31
"2017-11-17",43
"2017-11-18",31
"2017-11-19",40
"2017-11-20",44
"2017-11-21",63
"2017-11-22",45
"2017-11-23",36
"2017-11-24",27
"2017-11-25",35
"2017-11-26",35
"2017-11-27",42
"2017-11-28",46
"2017-11-29",42
"2017-11-30",30
"2017-12-01",32
"2017-12-02",26
"2017-12-03",58
"2017-12-04",47
"2017-12-05",41
"2017-12-06",56
"2017-12-07",35
"2017-12-08",25
"2017-12-09",42
"2017-12-10",42
"2017-12-11",38
"2017-12-12",30
"2017-12-13",32
"2017-12-14",48
"2017-12-15",38
"2017-12-16",32
"2017-12-17",31
"2017-12-18",32
"2017-12-19",32
"2017-12-20",32
"2017-12-21",34
"2017-12-22",28
"2017-12-23",17
"2017-12-24",33
"2017-12-25",35
"2017-12-26",32
"2017-12-27",34
"2017-12-28",34
"2017-12-29",31
"2017-12-30",43
"2017-12-31",28
"2018-01-01",40
"2018-01-02",60
"2018-01-03",46
"2018-01-04",39
"2018-01-05",44
"2018-01-06",57
"2018-01-07",100
"2018-01-08",64
"2018-01-09",56
"2018-01-10",47
"2018-01-11",42
"2018-01-12",33
"2018-01-13",52
"2018-01-14",46
"2018-01-15",76
"2018-01-16",50
"2018-01-17",43
"2018-01-18",57
"2018-01-19",49
"2018-01-20",37
"2018-01-21",42
"2018-01-22",46
"2018-01-23",69
"2018-01-24",35
"2018-01-25",56
"2018-01-26",30
"2018-01-27",25
"2018-01-28",73
"2018-01-29",49
"2018-01-30",46
"2018-01-31",46
"2018-02-01",65
"2018-02-02",45
"2018-02-03",42
"2018-02-04",53
"2018-02-05",45
"2018-02-06",41
"2018-02-07",46
"2018-02-08",57
"2018-02-09",33
"2018-02-10",29
"2018-02-11",45
"2018-02-12",49
"2018-02-13",24
"2018-02-14",19
"2018-02-15",24
"2018-02-16",22
"2018-02-17",53
"2018-02-18",40
"2018-02-19",87
"2018-02-20",50
"2018-02-21",37
"2018-02-22",45
"2018-02-23",32
"2018-02-24",32
"2018-02-25",43
"2018-02-26",65
"2018-02-27",40
"2018-02-28",51
"2018-03-01",47
"2018-03-02",36
"2018-03-03",34
"2018-03-04",46
"2018-03-05",39
"2018-03-06",51
"2018-03-07",38
"2018-03-08",57
"2018-03-09",37
"2018-03-10",24
"2018-03-11",32
"2018-03-12",35
"2018-03-13",36
"2018-03-14",33
"2018-03-15",25
"2018-03-16",43
"2018-03-17",37
"2018-03-18",42
"2018-03-19",37
"2018-03-20",38
"2018-03-21",29
"2018-03-22",27
"2018-03-23",30
"2018-03-24",25
"2018-03-25",30
"2018-03-26",38
"2018-03-27",51
"2018-03-28",35
"2018-03-29",27
"2018-03-30",26
"2018-03-31",18
"2018-04-01",21
"2018-04-02",33
"2018-04-03",39
"2018-04-04",35
"2018-04-05",43
"2018-04-06",27
"2018-04-07",22
"2018-04-08",30
"2018-04-09",36
"2018-04-10",42
"2018-04-11",40
"2018-04-12",31
"2018-04-13",48
"2018-04-14",34
"2018-04-15",25
"2018-04-16",35
"2018-04-17",28
"2018-04-18",26
"2018-04-19",24
