네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","견미리팩트시즌8"
"2017-08-01",76
"2017-08-02",53
"2017-08-03",57
"2017-08-04",46
"2017-08-05",37
"2017-08-06",46
"2017-08-07",52
"2017-08-08",49
"2017-08-09",56
"2017-08-10",56
"2017-08-11",56
"2017-08-12",43
"2017-08-13",53
"2017-08-14",53
"2017-08-15",78
"2017-08-16",57
"2017-08-17",76
"2017-08-18",63
"2017-08-19",43
"2017-08-20",48
"2017-08-21",63
"2017-08-22",61
"2017-08-23",58
"2017-08-24",58
"2017-08-25",46
"2017-08-26",43
"2017-08-27",56
"2017-08-28",49
"2017-08-29",75
"2017-08-30",70
"2017-08-31",69
"2017-09-01",51
"2017-09-02",72
"2017-09-03",65
"2017-09-04",70
"2017-09-05",63
"2017-09-06",57
"2017-09-07",45
"2017-09-08",46
"2017-09-09",44
"2017-09-10",67
"2017-09-11",73
"2017-09-12",76
"2017-09-13",66
"2017-09-14",75
"2017-09-15",54
"2017-09-16",48
"2017-09-17",72
"2017-09-18",53
"2017-09-19",72
"2017-09-20",73
"2017-09-21",64
"2017-09-22",66
"2017-09-23",48
"2017-09-24",62
"2017-09-25",73
"2017-09-26",72
"2017-09-27",64
"2017-09-28",51
"2017-09-29",28
"2017-09-30",24
"2017-10-01",34
"2017-10-02",25
"2017-10-03",26
"2017-10-04",27
"2017-10-05",36
"2017-10-06",41
"2017-10-07",39
"2017-10-08",43
"2017-10-09",79
"2017-10-10",73
"2017-10-11",62
"2017-10-12",87
"2017-10-13",53
"2017-10-14",48
"2017-10-15",66
"2017-10-16",73
"2017-10-17",100
"2017-10-18",71
"2017-10-19",85
"2017-10-20",56
"2017-10-21",40
"2017-10-22",90
"2017-10-23",63
"2017-10-24",57
"2017-10-25",54
"2017-10-26",69
"2017-10-27",55
"2017-10-28",40
"2017-10-29",51
"2017-10-30",64
"2017-10-31",66
"2017-11-01",70
"2017-11-02",67
"2017-11-03",55
"2017-11-04",51
"2017-11-05",49
"2017-11-06",62
"2017-11-07",63
"2017-11-08",67
"2017-11-09",39
"2017-11-10",23
"2017-11-11",16
"2017-11-12",15
"2017-11-13",18
"2017-11-14",15
"2017-11-15",12
"2017-11-16",10
"2017-11-17",11
"2017-11-18",8
"2017-11-19",11
"2017-11-20",8
"2017-11-21",10
"2017-11-22",12
"2017-11-23",9
"2017-11-24",8
"2017-11-25",5
"2017-11-26",8
"2017-11-27",10
"2017-11-28",12
"2017-11-29",9
"2017-11-30",14
"2017-12-01",14
"2017-12-02",11
"2017-12-03",11
"2017-12-04",13
"2017-12-05",10
"2017-12-06",15
"2017-12-07",9
"2017-12-08",9
"2017-12-09",8
"2017-12-10",16
"2017-12-11",13
"2017-12-12",16
"2017-12-13",11
"2017-12-14",10
"2017-12-15",8
"2017-12-16",9
"2017-12-17",9
"2017-12-18",13
"2017-12-19",14
"2017-12-20",10
"2017-12-21",13
"2017-12-22",8
"2017-12-23",7
"2017-12-24",7
"2017-12-25",8
"2017-12-26",11
"2017-12-27",8
"2017-12-28",9
"2017-12-29",8
"2017-12-30",7
"2017-12-31",5
"2018-01-01",12
"2018-01-02",19
"2018-01-03",16
"2018-01-04",16
"2018-01-05",13
"2018-01-06",9
"2018-01-07",14
"2018-01-08",14
"2018-01-09",13
"2018-01-10",14
"2018-01-11",18
"2018-01-12",11
"2018-01-13",6
"2018-01-14",11
"2018-01-15",13
"2018-01-16",11
"2018-01-17",7
"2018-01-18",10
"2018-01-19",8
"2018-01-20",9
"2018-01-21",10
"2018-01-22",7
"2018-01-23",8
"2018-01-24",12
"2018-01-25",11
"2018-01-26",11
"2018-01-27",6
"2018-01-28",11
"2018-01-29",12
"2018-01-30",8
"2018-01-31",13
"2018-02-01",7
"2018-02-02",7
"2018-02-03",6
"2018-02-04",6
"2018-02-05",6
"2018-02-06",9
"2018-02-07",6
"2018-02-08",9
"2018-02-09",8
"2018-02-10",5
"2018-02-11",5
"2018-02-12",5
"2018-02-13",6
"2018-02-14",3
"2018-02-15",6
"2018-02-16",6
"2018-02-17",6
"2018-02-18",7
"2018-02-19",12
"2018-02-20",8
"2018-02-21",8
"2018-02-22",10
"2018-02-23",8
"2018-02-24",6
"2018-02-25",12
"2018-02-26",7
"2018-02-27",6
"2018-02-28",10
"2018-03-01",10
"2018-03-02",14
"2018-03-03",16
"2018-03-04",12
"2018-03-05",15
"2018-03-06",14
"2018-03-07",15
"2018-03-08",16
"2018-03-09",10
"2018-03-10",7
"2018-03-11",12
"2018-03-12",14
"2018-03-13",11
"2018-03-14",14
"2018-03-15",12
"2018-03-16",12
"2018-03-17",6
"2018-03-18",11
"2018-03-19",16
"2018-03-20",9
"2018-03-21",13
"2018-03-22",15
"2018-03-23",11
"2018-03-24",10
"2018-03-25",12
"2018-03-26",13
"2018-03-27",12
"2018-03-28",10
"2018-03-29",8
"2018-03-30",9
"2018-03-31",7
"2018-04-01",8
"2018-04-02",10
"2018-04-03",8
"2018-04-04",9
"2018-04-05",10
"2018-04-06",7
"2018-04-07",7
"2018-04-08",10
"2018-04-09",11
"2018-04-10",12
"2018-04-11",8
"2018-04-12",10
"2018-04-13",11
"2018-04-14",8
"2018-04-15",10
"2018-04-16",12
"2018-04-17",10
"2018-04-18",11
"2018-04-19",14
