네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","소풍가방"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",
"2017-08-04",2
"2017-08-05",1
"2017-08-06",2
"2017-08-07",1
"2017-08-08",2
"2017-08-09",1
"2017-08-10",1
"2017-08-11",2
"2017-08-12",1
"2017-08-13",1
"2017-08-14",2
"2017-08-15",1
"2017-08-16",1
"2017-08-17",2
"2017-08-18",3
"2017-08-19",1
"2017-08-20",1
"2017-08-21",2
"2017-08-22",2
"2017-08-23",2
"2017-08-24",1
"2017-08-25",2
"2017-08-26",2
"2017-08-27",3
"2017-08-28",3
"2017-08-29",4
"2017-08-30",4
"2017-08-31",4
"2017-09-01",3
"2017-09-02",4
"2017-09-03",4
"2017-09-04",5
"2017-09-05",5
"2017-09-06",5
"2017-09-07",5
"2017-09-08",3
"2017-09-09",4
"2017-09-10",6
"2017-09-11",7
"2017-09-12",8
"2017-09-13",7
"2017-09-14",5
"2017-09-15",7
"2017-09-16",5
"2017-09-17",7
"2017-09-18",7
"2017-09-19",10
"2017-09-20",11
"2017-09-21",8
"2017-09-22",6
"2017-09-23",6
"2017-09-24",6
"2017-09-25",11
"2017-09-26",7
"2017-09-27",5
"2017-09-28",5
"2017-09-29",3
"2017-09-30",3
"2017-10-01",4
"2017-10-02",3
"2017-10-03",2
"2017-10-04",1
"2017-10-05",3
"2017-10-06",6
"2017-10-07",5
"2017-10-08",6
"2017-10-09",10
"2017-10-10",11
"2017-10-11",10
"2017-10-12",11
"2017-10-13",6
"2017-10-14",7
"2017-10-15",7
"2017-10-16",10
"2017-10-17",8
"2017-10-18",7
"2017-10-19",6
"2017-10-20",6
"2017-10-21",5
"2017-10-22",5
"2017-10-23",4
"2017-10-24",4
"2017-10-25",4
"2017-10-26",2
"2017-10-27",1
"2017-10-28",2
"2017-10-29",4
"2017-10-30",2
"2017-10-31",2
"2017-11-01",1
"2017-11-02",1
"2017-11-03",2
"2017-11-04",1
"2017-11-05",2
"2017-11-06",4
"2017-11-07",1
"2017-11-08",1
"2017-11-09",2
"2017-11-10",2
"2017-11-11",1
"2017-11-12",1
"2017-11-13",1
"2017-11-14",1
"2017-11-15",1
"2017-11-16",1
"2017-11-17",1
"2017-11-18",2
"2017-11-19",1
"2017-11-20",1
"2017-11-21",1
"2017-11-22",1
"2017-11-23",2
"2017-11-24",2
"2017-11-25",2
"2017-11-26",1
"2017-11-27",2
"2017-11-28",2
"2017-11-29",1
"2017-11-30",2
"2017-12-01",1
"2017-12-02",1
"2017-12-03",2
"2017-12-04",2
"2017-12-05",2
"2017-12-06",2
"2017-12-07",2
"2017-12-08",1
"2017-12-09",2
"2017-12-10",2
"2017-12-11",2
"2017-12-12",3
"2017-12-13",2
"2017-12-14",2
"2017-12-15",3
"2017-12-16",2
"2017-12-17",2
"2017-12-18",3
"2017-12-19",2
"2017-12-20",2
"2017-12-21",2
"2017-12-22",3
"2017-12-23",2
"2017-12-24",3
"2017-12-25",3
"2017-12-26",4
"2017-12-27",5
"2017-12-28",4
"2017-12-29",6
"2017-12-30",4
"2017-12-31",5
"2018-01-01",5
"2018-01-02",6
"2018-01-03",6
"2018-01-04",5
"2018-01-05",5
"2018-01-06",6
"2018-01-07",6
"2018-01-08",7
"2018-01-09",5
"2018-01-10",7
"2018-01-11",6
"2018-01-12",5
"2018-01-13",6
"2018-01-14",7
"2018-01-15",10
"2018-01-16",10
"2018-01-17",6
"2018-01-18",8
"2018-01-19",5
"2018-01-20",5
"2018-01-21",6
"2018-01-22",7
"2018-01-23",6
"2018-01-24",7
"2018-01-25",6
"2018-01-26",5
"2018-01-27",6
"2018-01-28",6
"2018-01-29",6
"2018-01-30",5
"2018-01-31",7
"2018-02-01",5
"2018-02-02",5
"2018-02-03",6
"2018-02-04",6
"2018-02-05",7
"2018-02-06",5
"2018-02-07",7
"2018-02-08",7
"2018-02-09",3
"2018-02-10",5
"2018-02-11",6
"2018-02-12",7
"2018-02-13",7
"2018-02-14",3
"2018-02-15",5
"2018-02-16",4
"2018-02-17",7
"2018-02-18",9
"2018-02-19",9
"2018-02-20",10
"2018-02-21",10
"2018-02-22",11
"2018-02-23",8
"2018-02-24",8
"2018-02-25",8
"2018-02-26",13
"2018-02-27",10
"2018-02-28",11
"2018-03-01",12
"2018-03-02",9
"2018-03-03",10
"2018-03-04",11
"2018-03-05",10
"2018-03-06",13
"2018-03-07",12
"2018-03-08",10
"2018-03-09",9
"2018-03-10",8
"2018-03-11",12
"2018-03-12",11
"2018-03-13",11
"2018-03-14",12
"2018-03-15",12
"2018-03-16",10
"2018-03-17",10
"2018-03-18",12
"2018-03-19",11
"2018-03-20",13
"2018-03-21",14
"2018-03-22",15
"2018-03-23",14
"2018-03-24",16
"2018-03-25",16
"2018-03-26",20
"2018-03-27",23
"2018-03-28",22
"2018-03-29",25
"2018-03-30",24
"2018-03-31",45
"2018-04-01",37
"2018-04-02",51
"2018-04-03",50
"2018-04-04",58
"2018-04-05",79
"2018-04-06",58
"2018-04-07",39
"2018-04-08",46
"2018-04-09",69
"2018-04-10",72
"2018-04-11",100
"2018-04-12",76
"2018-04-13",71
"2018-04-14",58
"2018-04-15",63
"2018-04-16",90
"2018-04-17",84
"2018-04-18",94
"2018-04-19",62
