네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","수유쿠션"
"2017-08-01",41
"2017-08-02",46
"2017-08-03",52
"2017-08-04",41
"2017-08-05",33
"2017-08-06",52
"2017-08-07",42
"2017-08-08",45
"2017-08-09",51
"2017-08-10",45
"2017-08-11",41
"2017-08-12",47
"2017-08-13",49
"2017-08-14",52
"2017-08-15",39
"2017-08-16",45
"2017-08-17",46
"2017-08-18",49
"2017-08-19",42
"2017-08-20",56
"2017-08-21",55
"2017-08-22",52
"2017-08-23",49
"2017-08-24",46
"2017-08-25",44
"2017-08-26",35
"2017-08-27",48
"2017-08-28",43
"2017-08-29",47
"2017-08-30",57
"2017-08-31",48
"2017-09-01",42
"2017-09-02",40
"2017-09-03",48
"2017-09-04",53
"2017-09-05",56
"2017-09-06",52
"2017-09-07",43
"2017-09-08",44
"2017-09-09",41
"2017-09-10",53
"2017-09-11",37
"2017-09-12",38
"2017-09-13",37
"2017-09-14",42
"2017-09-15",36
"2017-09-16",44
"2017-09-17",46
"2017-09-18",41
"2017-09-19",44
"2017-09-20",42
"2017-09-21",41
"2017-09-22",34
"2017-09-23",37
"2017-09-24",40
"2017-09-25",55
"2017-09-26",66
"2017-09-27",70
"2017-09-28",64
"2017-09-29",44
"2017-09-30",33
"2017-10-01",50
"2017-10-02",49
"2017-10-03",50
"2017-10-04",47
"2017-10-05",59
"2017-10-06",72
"2017-10-07",65
"2017-10-08",84
"2017-10-09",100
"2017-10-10",78
"2017-10-11",87
"2017-10-12",84
"2017-10-13",55
"2017-10-14",50
"2017-10-15",52
"2017-10-16",62
"2017-10-17",63
"2017-10-18",52
"2017-10-19",59
"2017-10-20",50
"2017-10-21",56
"2017-10-22",60
"2017-10-23",56
"2017-10-24",47
"2017-10-25",46
"2017-10-26",49
"2017-10-27",48
"2017-10-28",41
"2017-10-29",53
"2017-10-30",55
"2017-10-31",49
"2017-11-01",52
"2017-11-02",43
"2017-11-03",48
"2017-11-04",45
"2017-11-05",54
"2017-11-06",71
"2017-11-07",58
"2017-11-08",52
"2017-11-09",61
"2017-11-10",57
"2017-11-11",45
"2017-11-12",55
"2017-11-13",57
"2017-11-14",60
"2017-11-15",57
"2017-11-16",49
"2017-11-17",46
"2017-11-18",35
"2017-11-19",48
"2017-11-20",46
"2017-11-21",52
"2017-11-22",52
"2017-11-23",48
"2017-11-24",44
"2017-11-25",45
"2017-11-26",41
"2017-11-27",42
"2017-11-28",45
"2017-11-29",39
"2017-11-30",41
"2017-12-01",43
"2017-12-02",44
"2017-12-03",46
"2017-12-04",51
"2017-12-05",66
"2017-12-06",51
"2017-12-07",59
"2017-12-08",46
"2017-12-09",51
"2017-12-10",50
"2017-12-11",58
"2017-12-12",53
"2017-12-13",67
"2017-12-14",47
"2017-12-15",41
"2017-12-16",63
"2017-12-17",55
"2017-12-18",52
"2017-12-19",56
"2017-12-20",58
"2017-12-21",53
"2017-12-22",44
"2017-12-23",46
"2017-12-24",42
"2017-12-25",54
"2017-12-26",62
"2017-12-27",43
"2017-12-28",55
"2017-12-29",42
"2017-12-30",37
"2017-12-31",52
"2018-01-01",47
"2018-01-02",46
"2018-01-03",50
"2018-01-04",50
"2018-01-05",55
"2018-01-06",60
"2018-01-07",60
"2018-01-08",60
"2018-01-09",70
"2018-01-10",55
"2018-01-11",56
"2018-01-12",51
"2018-01-13",48
"2018-01-14",54
"2018-01-15",69
"2018-01-16",71
"2018-01-17",48
"2018-01-18",69
"2018-01-19",50
"2018-01-20",58
"2018-01-21",54
"2018-01-22",50
"2018-01-23",55
"2018-01-24",49
"2018-01-25",57
"2018-01-26",43
"2018-01-27",46
"2018-01-28",64
"2018-01-29",72
"2018-01-30",62
"2018-01-31",54
"2018-02-01",56
"2018-02-02",44
"2018-02-03",43
"2018-02-04",49
"2018-02-05",58
"2018-02-06",68
"2018-02-07",56
"2018-02-08",54
"2018-02-09",56
"2018-02-10",58
"2018-02-11",50
"2018-02-12",48
"2018-02-13",49
"2018-02-14",41
"2018-02-15",47
"2018-02-16",42
"2018-02-17",45
"2018-02-18",62
"2018-02-19",60
"2018-02-20",51
"2018-02-21",54
"2018-02-22",62
"2018-02-23",47
"2018-02-24",51
"2018-02-25",57
"2018-02-26",56
"2018-02-27",63
"2018-02-28",56
"2018-03-01",54
"2018-03-02",58
"2018-03-03",49
"2018-03-04",67
"2018-03-05",60
"2018-03-06",58
"2018-03-07",66
"2018-03-08",54
"2018-03-09",44
"2018-03-10",45
"2018-03-11",49
"2018-03-12",58
"2018-03-13",48
"2018-03-14",60
"2018-03-15",66
"2018-03-16",51
"2018-03-17",51
"2018-03-18",59
"2018-03-19",56
"2018-03-20",57
"2018-03-21",46
"2018-03-22",45
"2018-03-23",54
"2018-03-24",63
"2018-03-25",52
"2018-03-26",56
"2018-03-27",51
"2018-03-28",54
"2018-03-29",59
"2018-03-30",43
"2018-03-31",41
"2018-04-01",59
"2018-04-02",55
"2018-04-03",60
"2018-04-04",54
"2018-04-05",50
"2018-04-06",44
"2018-04-07",46
"2018-04-08",51
"2018-04-09",66
"2018-04-10",60
"2018-04-11",50
"2018-04-12",55
"2018-04-13",53
"2018-04-14",54
"2018-04-15",58
"2018-04-16",59
"2018-04-17",45
"2018-04-18",57
"2018-04-19",54
